preparations,reps
G. W. Shugart 1718,1
C. E. Craighead 669,1
C. E. Craighead 663,1
G. W. Shugart 3396,1
R. D. Droker 143,1
G. W. Shugart 2960,1
G. W. Shugart 2965,1
M. L. Johnson 4411a,1
E. Lathrop 91,1
G. J. Divoky 76-4,1
M. Thompson 173,1
M. Thompson 115,1
M. A. Hanna,1
H. Hebard 0021,1
G. W. Shugart 3551,1
J. K. Lee 08,1
M. E. Larson 03,1
L. U. Kleine 52,1
G. W. Shugart 3792,1
C. E. Craighead 871,1
G. W. Shugart 3540,1
G. W. Shugart 3503,1
G. W. Shugart 3522,1
C. E. Craighead 322,1
G. W. Shugart 3411,1
G. W. Shugart 3544,1
G. W. Shugart 3912,1
A. D. Riggle 02,1
G. W. Shugart 3736,1
G. W. Shugart 3417,1
G. W. Shugart 3498,1
G. W. Shugart 3447,1
G. W. Shugart 3452,1
G. W. Shugart 3445,1
G. W. Shugart 3414,1
G. W. Shugart 3532,1
A. M. Tun 02,1
C. E. Craighead 710,1
S. D. Thorp 40,1
A. K. Terepocki 44,1
G. W. Shugart 3657,1
G. W. Shugart 3834,1
S. D. Thorp 08,1
G. W. Shugart 3824,1
S.G. Jewett 14348,1
R.D. Droker 244,1
H. M. DuBois 179,1
H. M. DuBois 204,1
H. Dobyns,1
G. W. Shugart 2675,1
C. Maser 444,1
H. T. Bohlman 20,1
J. H. Bodley 1357,1
H. M. DuBois 183,1
H. M. DuBois 115,1
G. W. Shugart 3318,1
C. E. Craighead 192,1
C. E. Craighead 125,1
C. E. Craighead 589,1
G. W. Shugart 3284,1
C. E. Craighead 581,1
C. E. Craighead 496,1
C. E. Craighead 271,1
C. E. Craighead 197,1
G. Tohm 0074,1
S. G. Jewett 13436,1
B. Gerard 0036,1
A. R. Phillips 3397,1
W. Masterjohn 0016,1
D. Johnson 0016,1
D. Johnson 0020,1
Storrs Olson trade-5,1
C. E. Doe,1
L. Taylor,1
W. H. LaPrade,1
R. S. Hoffman 717,1
J. A. Nielson,1
R. F. Backus,1
C. E. Craighead 877,1
G. W. Shugart 3016,1
E. P. Edwards 806,1
C. E. Craighead 858,1
C. E. Craighead 848,1
G. W. Shugart 3185,1
C. E. Craighead 844,1
R. D. Droker 1024,1
R. D. Droker 050,1
G. W. Shugart 1197,1
B. K. Schmidt 011,1
R. D. Droker 775,1
R. D. Droker 544,1
R. D. Droker 066,1
R. D. Droker 728,1
R. D. Droker 298,1
R. D. Droker 539,1
R. D. Droker 733,1
B. Jensen 22,1
G. W. Shugart 1876,1
R. D. Droker 545,1
R.D. Droker 364,1
G. W. Shugart 1747,1
R. D. Droker 048,1
Mrs. W. T. Rush,1
D. F. Parmelee 229,1
D. F. Parmelee 67,1
K. Scott 0005,1
B. S. Bull 005,1
C. E. Craighead 847,1
C. E. Craighead 873,1
G. W. Shugart 2548,1
R. D. Droker B-79,1
O. J. Murie 81,1
R. D. Droker 1146,1
R. H. Beck 4648,1
R. H. Beck 4677,1
E. J. Booth 487,1
E. J. Booth 512,1
H. Decker 0083,1
G. W. Shugart 1871,1
E. J. Booth 501,1
E. P. Edwards 1269,1
T. R. Weaver 160,1
C. E. Craighead 06,1
C. E. Craighead 596,1
C. E. Craighead 597,1
C. E. Craighead 714,1
G. W. Shugart 2829,1
T. R. Weaver 37,1
C. E. Craighead 746,1
J. T. Miller 03,1
J. P. Voos 13,1
S. D. Olszewski 17,1
G. W. Shugart 3584,1
C. E. Craighead 531,1
C. E. Craighead 40,1
C. E. Craighead 135,1
G. W. Shugart 3166,1
L. U. Kleine 96,1
L. E. Strong 03,1
G. W. Shugart 3858,1
G. W. Shugart 3655,1
S. D. Thorp 34,1
S. D. Olszewski 05,1
G. W. Shugart 3642,1
C. E. Craighead 123,1
T. R. Weaver 30,1
C. E. Craighead 575,1
C. E. Craighead 525,1
G. W. Shugart 3460,1
T. R. Weaver 03,1
C. E. Craighead 27,1
C. E. Craighead 549,1
C. E. Craighead 224,1
T. R. Weaver 17,1
C. E. Craighead 759,1
R. L. Niese 03,1
C. E. Gray 09,1
G. W. Shugart 3288,1
G. W. Shugart 3398,1
T. R. Weaver 113,1
T. R. Weaver 110,1
C. E. Craighead 99,1
L. U. Kleine 09,1
L. U. Kleine 18,1
T. R. Weaver 122a,1
L. U. Kleine 08,1
T. R. Weaver 119,1
C. E. Craighead 649,1
T. R. Weaver 82,1
C. E. Craighead 146,1
C. E. Craighead 223,1
G. W. Shugart 3242,1
C. E. Craighead 149,1
J. K. Wilson 02,1
C. E. Craighead 771,1
L. U. Kleine 48,1
C. E. Craighead 751,1
G. W. Shugart 3292,1
G. W. Shugart 3170,1
T. R. Weaver 107,1
C. E. Craighead 702,1
C. E. Craighead 03,1
P. H. Wimberger,1
G. W. Shugart 3374,1
C. E. Craighead 319,1
C. E. Craighead 384,1
C. E. Craighead 267,1
G. W. Shugart 3623,1
G. W. Shugart 3652,1
G. W. Shugart 3860,1
B. A. Diehl 09,1
C. E. Craighead 352,1
R. L. Reiter 08,1
G. W. Shugart 3247a,1
C. E. Craighead 458,1
T. R. Weaver 141,1
C. E. Craighead 292,1
C. E. Craighead 441,1
C. E. Craighead 361,1
C. E. Craighead 88,1
J.Felton & S.Bauer,1
A. A. Nikiforov 01,1
G. W. Shugart 3425,1
Carl Lien 265,1
T. R. Weaver 77,1
C. E. Craighead 188,1
Carl Lien 270,1
C. E. Craighead 204,1
C. E. Craighead 777,1
T. R. Weaver 07,1
C. E. Craighead 52,1
B. M. Gutierrez 01,1
T. R. Weaver 66,1
G. W. Shugart 3172,1
C. E. Craighead 776,1
G. W. Shugart 3438,1
L. U. Kleine 17,1
G. W. Shugart 3758,1
G. W. Shugart 3753,1
L. U. Kleine 45,1
B. K. Schmidt 2211,1
R. D. Droker 973,1
RNP 157,1
G. W. Shugart 2515,1
B. K. Schmidt 2212,1
D.Paulson 2178 & G.Shugart,1
R. D. Droker 007,1
C. D. Spaw 4079,1
G. W. Shugart 1977,1
G. W. Shugart 2344,1
GG,1
B. K. Schmidt 017,1
D. Takahashi 024,1
R. D. Droker 795,1
R. D. Droker 459,1
RNP 072,1
M. Hukari 24,1
M. Hukari 09,1
G. W. Shugart 1163,1
R. D. Droker 901,1
G. W. Shugart 2922,1
R.D. Droker 352,1
M. Hukari 105,1
G. W. Shugart 1010,1
J. Healey 07,1
R. D. Droker 397,1
R. D. Droker 655,1
D. R. Paulson 1974,1
G. W. Shugart 3063,1
B. K. Schmidt 2548,1
B. K. Schmidt 2583,1
R. D. Droker 776,1
R. D. Droker 107,1
G. W. Shugart 2153,1
G. W. Shugart 2085,1
G. W. Shugart 2593,1
S. Baker 08,1
G. W. Shugart 1184,1
R. D. Droker B6,1
G. W. Shugart 1007,1
R. Walters 003,1
B. K. Schmidt 089,1
G. W. Shugart 2228,1
B. K. Schmidt 2222,1
J. T. Miller 02,1
G. W. Shugart 2240,1
G. W. Shugart 2242,1
G. W. Shugart 2278,1
R. D. Droker B-59,1
S.Baker 02/R.Droker,1
G. W. Shugart 2478,1
G. W. Shugart 2417,1
R. D. Droker 438,1
R. D. Droker 436,1
R. D. Droker 908,1
D. R. Paulson 1894,1
G. W. Shugart 2284,1
D. R. Paulson 2015,1
B. K. Schmidt 1505,1
Z. V. McMannama 091,1
H. Kim,1
RNP 097,1
G. W. Shugart 2780,1
D. R. Paulson 2031,1
R. D. Droker 1293,1
B. K. Schmidt 2242,1
E. J. Booth 708,1
R. D. Droker 1214,1
G. W. Shugart 2431,1
G. W. Shugart 2937,1
M. Moon/R. Droker,1
G. W. Shugart 1026,1
G. W. Shugart 1874,1
G. W. Shugart 2491,1
R. D. Droker 181,1
R. D. Droker 059,1
R. D. Droker 1300,1
RNP 120,1
G. W. Shugart 2005,1
J. Healey 018,1
G. W. Shugart 3080,1
R. D. Droker 1285,1
M. Moon & G . Shugart,1
G. W. Shugart 2620,1
G. W. Shugart 2832,1
G. W. Shugart 1861,1
G. W. Shugart 2524,1
G. W. Shugart 2791,1
D. R. Paulson 2165,1
D. R. Paulson 1967,1
P. Rasmussen 13,1
R. D. Droker 1098,1
R. D. Droker 783,1
Z. V. McMannama 291,1
Z. V. McMannama 065,1
R. D. Droker 963,1
R. D. Droker 599,1
D. R. Paulson 1990,1
RNP 091,1
Z. V. McMannama 098,1
M. Hukari 099,1
G. W. Shugart 2069,1
D. R. Paulson 2088,1
M. Hukari 153,1
J. Brooks 03,1
R. D. Droker 1269,1
R. D. Droker 321,1
D. R. Paulson 2052,1
R. D. Droker 1287,1
M. Hukari 067,1
G. W. Shugart 3058,1
E. J. Booth 643,1
E. J. Booth 749,1
D. R. Paulson 2122,1
G. W. Shugart 2176,1
Shayne Rohwer 014,1
G. W. Shugart 1967,1
G. W. Shugart 1636,1
G. W. Shugart 2450,1
M Hukari 175,1
B. K. Schmidt 1500,1
D. R. Paulson 1959,1
G. W. Shugart 2409,1
D. Takahashi 04,1
R. D. Droker 577,1
B. K. Schmidt 1509,1
D. Banin 379,1
R. D. Droker 480,1
J. Healey 002,1
E. Kennedy 07,1
Z. V. McMannama 536,1
R. D. Droker 1205,1
G. W. Shugart 2686,1
J. Healey 011,1
RNP 181,1
RNP 128,1
G. W. Shugart 2427,1
E. J. Booth 703,1
G. W. Shugart 2351,1
RNP 192,1
R. D. Droker 941,1
M. Hukari 078,1
R. D. Droker 1178,1
R. D. Droker 1386,1
G. W. Shugart 2233,1
R. D. Droker 1124,1
R. D. Droker 937,1
R. D. Droker B-42,1
B. K. Schmidt 808,1
G. W. Shugart 2150,1
B. K. Schmidt 1124,1
R. D. Droker 159,1
E. J. Booth 003,1
M. Hukari 036,1
M. Hukari 044,1
M. Hukari 049,1
G. W. Shugart 1606,1
B. Jensen 05,1
D. Takahashi 09,1
S. Baker 20,1
G. W. Shugart 3051,1
G. W. Shugart 1102,1
RNP 094,1
Z. V. McMannama 214,1
E. J. Booth 457,1
R. D. Droker 732,1
M. Hukari 101,1
M. Hukari 088,1
D. R. Paulson 2189,1
G. W. Shugart 1056,1
B. K. Schmidt 843,1
B. K. Schmidt 845,1
R. D. Droker 401,1
Z. V. McMannama 486,1
G. W. Shugart 2309,1
G. W. Shugart 1583,1
E. J. Booth 646,1
E. J. Booth 698,1
G. W. Shugart 2586,1
G. W. Shugart 2724,1
R. D. Droker 959,1
G. W. Shugart 2885,1
Z. V. McMannama 227,1
R. D. Droker 863,1
Z. V. McMannama 410,1
Z. V. McMannama 241,1
Z. V. McMannama 082,1
R. D. Droker 454,1
G. W. Shugart 1657,1
G. W. Shugart 981,1
R. D. Droker 540,1
G. W. Shugart 1909,1
Z. V. McMannama 108,1
G. W. Shugart 2692,1
D. R. Paulson 1925,1
D. R. Paulson 2053,1
G. W. Shugart 2947,1
D. R. Paulson 2134,1
G. W. Shugart 2970,1
G. W. Shugart 3094,1
G. W. Shugart 2971,1
B. K. Schmidt 1127,1
G. W. Shugart 1844,1
R. D. Droker 884,1
G. W. Shugart 1712,1
L. D. La Fave,1
G. W. Shugart 2583,1
G. W. Shugart 2010,1
R. D. Droker 442,1
R. D. Droker 099,1
Z. V. McMannama 493,1
G. W. Shugart 2116,1
Z. V. McMannama 340,1
R.D. Droker 255,1
G. W. Shugart 2567,1
R. D. Droker 1389,1
Z. V. McMannama 347,1
G. W. Shugart 1608,1
D. R. Paulson 2065,1
G. W. Shugart 1099,1
O. I. Anderson & P. W. Cheney,1
G. W. Shugart 1655,1
G. W. Shugart 2762,1
R. D. Droker 877,1
B. K. Schmidt 1501,1
R. D. Droker 434,1
E. R. Booth 0340,1
G. W. Shugart 3079,1
Z. V. McMannama 339,1
R. D. Droker 1267,1
G. W. Shugart 1542,1
RNP 003,1
G. W. Shugart 1956,1
D. Hall,1
R. D. Droker 032,1
R. Delles 07,1
R. D. Droker 036,1
R. D. Droker 988,1
Denise Hammond,1
R. D. Droker 377,1
D. R. Paulson 1938,1
A. Ruchty 003,1
B. K. Schmidt 343,1
J. B. Hurley 929,1
E. R. Booth 0079,1
E. J. Booth 599,1
R. D. Droker 584,1
E. F. Booth,1
G. W. Shugart 2521,1
R. D. Droker 1149,1
G. W. Shugart 3059,1
D. R. Paulson 2083,1
D. R. Paulson 2092,1
R. D. Droker 380,1
D. R. Paulson 1991,1
D. R. Paulson 1993,1
R.D. Droker 368,1
D. R. Paulson 1985,1
Z. V. McMannama 367,1
Z. V. McMannama 220,1
Z. V. McMannama 453,1
Z. V. McMannama 172,1
Z. V. McMannama 283,1
Z. V. McMannama 048,1
R. D. Droker 1080,1
R.D. Droker 354,1
R. D. Droker 708,1
D. R. Paulson 1975,1
E. J. Booth 332,1
G. W. Shugart 3128,1
G. W. Shugart 1043,1
F. Faraq,1
B. K. Schmidt 1164,1
D. R. Paulson 2155,1
G. W. Shugart 1719,1
G. W. Shugart 1817,1
R. D. Droker 483,1
R. D. Droker 311,1
B. K. Schmidt 1422,1
R. D. Droker 724,1
G. W. Shugart 1617,1
G. W. Shugart 2003,1
R. D. Droker 1382,1
G. W. Shugart 2933,1
D. Takahashi 020,1
J. Healey 08,1
M. Hukari 059,1
Z. V. McMannama 120,1
Z. V. McMannama 203,1
R. D. Droker 822,1
R. D. Droker 344,1
G. W. Shugart 3024,1
R. D. Droker 909,1
B. Jensen 010,1
R. D. Droker 602,1
R. D. Droker 1350,1
G. W. Shugart 2901,1
G. W. Shugart 2106,1
R. D. Droker 214,1
R. D. Droker 564,1
D. R. Paulson 1950,1
R. D. Droker 1060,1
G. W. Shugart 2802,1
D. R. Paulson 2067,1
B. K. Schmidt 014,1
B. K. Schmidt 1504,1
D. R. Paulson 2009,1
R. D. Droker 875,1
R. D. Droker B-47,1
R. D. Droker 501,1
E. J. Booth 771,1
D. R. Paulson 2156,1
G. W. Shugart 1818,1
B. K. Schmidt 1162,1
B. K. Schmidt 1425,1
RNP 144,1
R. D. Droker 597,1
G. W. Shugart 1573,1
G. W. Shugart 2253,1
D. R. Paulson 1918,1
G. W. Shugart 1912,1
G. W. Shugart 2827,1
R. D. Droker 511,1
R. D. Droker 714,1
R. D. Droker 1142,1
G. W. Shugart 2193,1
R.D. Droker 223,1
E. R. Booth 0022,1
R. D. Droker 273,1
B. K. Schmidt 875,1
B. K. Schmidt 050,1
G. W. Shugart 1037,1
R. D. Droker 236,1
G. W. Shugart 2486,1
G. W. Shugart 2006,1
R. D. Droker 260,1
R.D. Droker 264,1
G. W. Shugart 3027,1
G. W. Shugart 2893,1
B. K. Schmidt 819,1
G. W. Shugart 2869,1
D. R. Paulson 1987,1
Z. V. McMannama 100,1
G. W. Shugart 2333,1
R. D. Droker 579,1
D. R. Paulson 1908,1
R. D. Droker 384,1
R.D. Droker 119,1
R. D. Droker 120,1
E. J. Booth 738,1
G. W. Shugart 2941,1
G. W. Shugart 2716,1
G. W. Shugart 2715,1
R. D. Droker 138,1
R. D. Droker 518,1
G. W. Shugart 1890,1
A. J. Kroha/GWS,1
R. D. Droker 525,1
RNP 115,1
RNP 114,1
RNP 186,1
R. D. Droker B-56,1
G. W. Shugart 1639,1
D. R. Paulson 2072,1
Z. V. McMannama 182,1
G. W. Shugart 2025,1
Z. V. McMannama 667,1
Z. V. McMannama 551,1
B. K. Schmidt 029,1
D. R. Paulson 2059,1
G. W. Shugart 1021,1
G. W. Shugart 3243,1
C. E. Craighead 61,1
S. Bleakney 2,1
M. Wood,1
R. I. Johnson,1
C. E. Craighead 874,1
G. W. Shugart 3178,1
G. W. Shugart 2684,1
G. W. Shugart 2510,1
G. W. Shugart 2423,1
G. W. Shugart 2783,1
E. R. Booth 0358,1
C. E. Craighead 845,1
G. W. Shugart 3196,1
skin (dry); spread wing (dry); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen),1
skeleton (dry); tissue (frozen: vapor phase nitrogen); tissue (frozen) sample; skeleton (dry) sample,1
spread wing (dry); other (95% ethanol); tissue (frozen: vapor phase nitrogen); partial skin (dry); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen) sample,1
stomach content (95% ethanol); skeleton (dry),1
stomach and oesophagus,1
"study skin (body, intestines on alc.)",1
complete specimen on alc. (Peregrine prey remains),1
pellet(s) with body feathers (Peregrine prey remains),1
skull and vertebrae,1
feathers (dry); stomach content (ethanol); stomach content (ethanol); skeleton (dry),1
whole organism (70% ethanol),1
study skin; partial skeleton,1
audio recording,1
whole organism (cleared and stained); flat skin; spread wing,1
"wing, skel, feathers, tissue",1
tissue (frozen); eye (RNAlater); kidney (RNAlater); heart (RNAlater); brain (RNAlater); muscle (RNAlater); liver (RNAlater); study skin,1
syrinx (ethanol); study skin,1
tissue (frozen); audio recording; study skin; tissue (95% ethanol) sample,1
tissue (frozen); kidney (RNAlater); spread wing; heart (RNAlater); gonad (RNAlater); eye (RNAlater); muscle (RNAlater); brain (RNAlater); liver (RNAlater),1
tissue (frozen); tissue (frozen); flat skin; skeleton,1
skin; (Wing only),1
skin; flat native skin,1
"Skeleton, Fluid, Syrinx, Tissue (DMSO/EDTA Buffer / No Medium)",1
"Fluid, Syrinx, Tissue (DMSO/EDTA Buffer / No Medium), Skeleton, Syrinx",1
"Fluid, Head only, Head only, Head only",1
skin; head only; in alcohol,1
"Tissue, Heart, liver, muscle (Lysis buffer), Heart, liver, muscle (Lysis buffer), Skin",1
"Tissue (DMSO/EDTA Buffer / No Medium), Skeleton (DMSO/EDTA Buffer / No Medium), Fluid, Syrinx",1
"Skeleton, Right leg, Skin, Right leg, Skin, Right leg",1
"Skin (Wing), Tissue, Skeleton (Wing)",1
"Tissue, Heart, liver, muscle, Skin (Schmoo), Skeleton, Heart, liver, muscle, Skeleton, Heart, liver, muscle, Skin (Schmoo)",1
"Tissue, Skin, Skeleton (Partial skeleton), Skeleton (Partial skeleton), Skin",1
"Skeleton, Skin (Spread wing), Skin (Spread wing), Tissue, Tissue",1
"Tissue, Skin (Schmoo), Skin (Schmoo)",1
mummy (skin),1
skeleton | wing | partial skin,1
partial skeleton | feathers,1
Most of Skeleton and Wing,1
HUMERUS R PROX,1
TARSOMETATARSUS DIST FRAG,1
DISTAL CA. 80% R (?) RADIUS.,1
R FEMUR EXCEPT HEAD.,1
DISTAL 2/3 R TIBIOTARSUS.,1
CARPOMETACARPUS FRAG L,1
Distal fragments humerus,1
BILL FRAGMENT,1
SKELETON BODY,1
Proximal 1/6 R tarsometatarsus,1
Prox 4/5 R tarsometarsus,1
FEMUR PROX TWO-THIRDS L,1
TARSOMETATARSUS PROX TWO-THIRDS R,1
HUMERUS PORT,1
Proximal tip R ulna.,1
Dorsl portion R furcula.,1
Nine-tenths L ulna.,1
Articular region lower mandible.,1
"R tarsometatarsus, proximal end and much of distal end missing.",1
FEMUR DIAPHYSIS R,1
FEMUR EXC DIST END,1
DISTAL R CARPOMETACARPUS.,1
L FEMUR EXCEPT DISTAL END.,1
PROXIMAL R TARSOMETATARSUS.,1
"DISTAL SHAFT TARSOMETATARSUS, VERY IMM.",1
DISTAL SHAFT R HUMERUS.,1
"R HUMERUS EXCEPT DISTAL TIP, AD.",1
R HUMERUS.,1
"PROXIMAL L TARSOMETATARSUS, AD.",1
PROXIMAL END R ULNA EXCEPT PROXIMAL TIP.,1
Proximal tip of R tarsometatarsus.,1
Posterior braincase.,1
"R tarsometatarsus, lacking a portion of shaft.",1
Proximal 4/5 R ulna,1
Anterior end beak.,1
R and central portion furcula.,1
L tibiotarsus except proximal end.,1
"R PH I, digit II of wing.",1
Proximal half R ulna.,1
Ventral half R coracoid.,1
Distal half ulna.,1
Distal one-fifth R ulna.,1
NOT GIVEN,1
CORACOID VENTRAL R,1
Proximal medial two-thirds L femur.,1
FEMUR DIST ONE-THIRD,1
TIBIOTARSUS DIST END L,1
Proximal one-third L humerus; proximal end R humerus; 3 fragments coracoid; 6 partial to entire vertebrae; synsacrum with fragment L ilium and partial R innominate (2 pieces); ulna except distal tip in 2 pieces; distal two-thirds radius in 2 pieces; scapu,1
Posterior skull.,1
Proximal tip R radius.,1
TIBIOTARSUS DIST PORT L,1
Distal one-fourth R tarsometatarsus.,1
"R tibiotarsus, distal end damaged.",1
Egg(s); Nest(s); Skin: Whole,1
Cleared and Stained: Partial; Alcoholic: Partial,1
skin (dry); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen) sample; tissue (frozen: vapor phase nitrogen) sample,1
tissue (frozen); partial skeleton (dry); flat skin (dry); tissue (frozen: vapor phase nitrogen),1
skeleton (dry); stomach content (ethanol); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen),1
Egg(s): Multiple Clutch; Nest(s),1
Element: Unidentified,1
wing/tail | tissue,1
TISSUE; Skeleton Partial; PARASITES; Skin Study,1
Fluid Alcohol; Skeleton Parts,1
Fluid Stomach In Alc; Skeleton Complete,1
Skin Wing; TISSUE; Fluid Post-cran in ETOH; Skin Study,1
TISSUE; PARASITES; Skin Study; Fluid Post-cran in ETOH; Fluid Stomach In Alc; Feathers,1
Fluid Stomach Contents; TISSUE; Fluid Post-cran in ETOH; Skin Study; Feathers,1
TISSUE; Fluid Post-cran in ETOH; swab; Skin Study; Feathers,1
TISSUE; swab; Fluid Post-cran in ETOH; Skin Study; PARASITES; Fluid Stomach In Alc,1
OTHER; Skin Flat; TISSUE; Fluid Stomach Contents,1
Blood; TISSUE; None; Fluid Post-cran in ETOH; Skin Study; Feathers,1
Skin Study; TISSUE; swab; Fluid Post-cran in ETOH; Fluid Stomach In Alc,1
Fluid Alcohol; PARASITES; TISSUE,1
"mount (body) | muscle, liver, heart, kidney, ovary",1
skin (feather),1
postcranial skeleton (complete) | skull (partial),1
"postcranial skeleton (partial) | skull (complete) | muscle, liver, heart, kidney | one wing",1
partial skin - 1,1
Post-cranial Skeleton - 2,1
"fetge, teixit muscular (alcohol etílic) | tissue",1
bulla | round skin | tissue - 1,1
tail | tissue,1
miscellaneous fragments,1
"tibiotarsus, cast",1
live; no longer in collection,1
Partial Skin,1
"skin, Partial Skeleton ,tissue",1
"Skin, Partial Skeleton: Wing Bones",1
"Spread Wing, Tail, Foot",1
Partial Skin: Head,1
Fluid Preserved: Heart Only,1
Skull (sectioned),1
Sternum + pectoral girdle + wing bones,1
Pelvic girdle + sacrum,1
partial skeleton (muscle); other (surrogate puppet),1
Feathers and skeletal part(s),1
"skin(f),skull",1
Leg (right) + fibula (left),1
Sternum + coracoids + furcula + scapulae + wings,1
Mould of premaxilla,1
Jaw + furcula + pelvis + sternum,1
Sternum + coracoids + furcula + scapula (right),1
partial skeleton; wing ; frozen: heart,1
tissue (flash-frozen); tissue (flash-frozen); tissue (flash-frozen); tissue (flash-frozen); tissue (flash-frozen); tissue (flash-frozen); tissue (flash-frozen); tissue (flash-frozen); tissue (flash-frozen); tissue (flash-frozen); tissue (flash-frozen),1
partial skeleton (dry); partial skeleton (dry); partial skeleton (dry); partial skeleton (dry); partial skeleton (dry),1
tissue (frozen: -80°C); tissue (frozen: vapor phase nitrogen); partial skin (dry); tissue (frozen: vapor phase nitrogen); spread wing (dry); tissue (frozen: vapor phase nitrogen),1
wings; feet,1
foot; beak,1
skull only; foot,1
skeleton (complete); wing,1
"Cast of tarso-metatarsus (right, distal end)",1
Sternum + pectoral girdle etc.,1
Casts of femur (right),1
skin; sternum; trachea; furcula,1
"partial skeleton; head; foot; frozen: heart, muscle",1
"skeleton (incomplete) (humerus, sectioned)",1
"egg (1 fragments only, 2 intact)",1
egg (intact; host: Linaria cannabina YPM 136449),1
egg (host: Erithacus rubecula YPM 134931),1
egg (intact; parasitized by Cuculus canorus YPM 136450),1
egg (intact; one smaller),1
10% form.->70% alc. (missing),1
egg (Host: Tangara preciosa YPM 148219),1
70% alc. (destroyed by shot); tissue frozen,1
"skin, mounted (standing, feet broken)",1
"skin, mounted (perched, crouching, head loose)",1
cleared & stained (embryo 17 days),1
skeleton (skull in KGL 122 (KZ 15 Dec 2016)),1
"egg (intact, host: Melospiza georgiana (YPM 116717))",1
"skin, mounted (perched, nice mount)",1
cleared & stained; cleared & stained,1
"skin, mounted (board wired to back)",1
"skin, mounted (wings open)",1
cleared & stained (embryo 10 days),1
"skin, mounted (standing, tail off)",1
nest (intact); egg (not located),1
"skeleton (incomplete) (cranium missing, 15 Dec 2016)",1
egg (2 eggs missing),1
skeleton (incomplete) (missing head); tissue frozen,1
"skin, mounted (standing, walking)",1
"skin, mounted (standing, decent mount, somewhat faded)",1
skeleton (black band on right leg); tissue frozen,1
10% form.->70% alc. (partial) (not located),1
"nest (intact, see notes)",1
egg (all damaged in some way),1
"egg (1 repaired, 1 intact)",1
egg (intact; host: Coccyzus americanus YPM 145733),1
egg (host: Vermivora cyanoptera YPM 142282),1
egg (host: Icterus spurius YPM 142410),1
"egg (1 broken, 1 a small fragment)",1
"egg (4: intact, very dirty)",1
egg (parasitized by Molothrus ater YPM 142354),1
egg (host: Pooecetes gramineus YPM 142337),1
egg (parasitized by Molothrus ater YPM 142449),1
egg (host: Eremophila alpestris; egg not collected),1
10% form.->70% alc. (on loan to A. Bhullar),1
"skin, mounted (wings floppy)",1
egg (intact; single),1
skeleton (skull only) (no lower mandible),1
egg (host: Icterus cucullatus YPM 130925),1
"egg (intact, 1 of 3 eggs)",1
egg (1 broken 4 intact),1
"egg (parasitized by Molothrus ater YPM 136874; intact, some with enlarged holes)",1
egg (intact (1 large hole)),1
egg (2 intact 2 cracked),1
"skin, mounted (toes of both feet deformed, neck is loose, otherwise a nice mount - SBH)",1
egg (host: Ammodramus bairdii),1
egg (parasitized by Molothrus ater YPM 136875; intact),1
egg (1 intact of set of 5. Host: Sayornis phoebe),1
egg (parasitized by Molothrus ater YPM 134651 intact),1
egg (parasitized by Molothrus ater YPM 142350),1
egg (parasitized by Molothrus ater YPM 142370),1
10% form.->70% alc. (outermost 3 primaries removed for wind-tunnel experiment (Christopher J. Clark)),1
"egg (4 intact, 1 repaired)",1
egg (host: Carduelis tristis YPM 136361; intact),1
"skin, round; wing (prepared to show diastataxy); tissue frozen",1
"egg (4: intact, discolored)",1
nest (possible eggs too??),1
egg (1 intact of set of 5),1
"egg (3 w/ enlarged holes, 1 of which is broken)",1
"nest (intact, deserted, dead young still in nest)",1
"egg (1 intact, 1 broken, 3 with large holes)",1
egg (2 intact1 broken),1
"skin, round (head only)",1
"nest (contained 5 half-grown nestlings, depredated by Blue Jay)",1
"egg (intact, one dissimilar)",1
"skin, round (metallic band # 1811,53807); tissue frozen",1
"skin, mounted (in CT Bird Hall exhibit)",1
egg (single eggs),1
egg (parasitized by Molothrus ater YPM 142409),1
egg (4: 1 broken & repaired),1
egg (parasitized by Molothrus ater YPM 142441),1
egg (parasitized by Molothrus ater YPM 142307),1
"skin, round; skeleton (partial); tissue frozen",1
"skin, mounted (molting to summer plumage)",1
"skin, round (Exchanged with Paris Museum in 1953)",1
egg (intact; lightly spotted),1
egg (1 a fragment only),1
egg (intact (1 repaired)),1
egg (11 intact 3 broken),1
"egg (broken, badly glued)",1
egg (1 intact),1
"tissue frozen (skin voucher inYPCC-6781 US National Museum of Natural History, Smithsonian;)",1
"tissue frozen (skin voucher inYPCC-6826 US National Museum of Natural History, Smithsonian;)",1
"tissue frozen (skin and wing voucher inYPCC-6784 US National Museum of Natural History, Smithsonian;)",1
"tissue frozen (skin voucher inYPCC-6821 US National Museum of Natural History, Smithsonian;)",1
tissue frozen (skeleton voucher at USNM (637431)),1
"tissue frozen (skin voucher inYPCC-6803 US National Museum of Natural History, Smithsonian;)",1
