verbatimLifeStage	standardLifeStage	standard	checked
Fledgling [Female ?]	fledgling	0	1
Fledgling [Sex ?]	fledgling	0	1
Fledgling Female	fledgling	0	1
Fledgling Male	fledgling	0	1
FLEDGLING, SKULL NOT OSSIFIED		0	0
FLEDGLING/JUV PLUMAGE; BURSA 10 		0	0
FLEDGLING/NESTLING; BURSA 5 X 4 		0	0
fledgling/unknown	fledgling	0	1
FLEDGLING; BURSA 10  X 6 MM		0	0
FLEDGLING; BURSA 10 X 4 MM, SKUL		0	0
FLEDGLING; BURSA 10 X 8 MM		0	0
FLEDGLING; BURSA 10 X 8 MM; SKUL		0	0
FLEDGLING; BURSA 11 X 5 MM		0	0
FLEDGLING; BURSA 12 X 10 MM		0	0
FLEDGLING; BURSA 12 X 7 MM		0	0
FLEDGLING; BURSA 13 X 13 MM		0	0
FLEDGLING; BURSA 14 X 10 MM		0	0
FLEDGLING; BURSA 14 X 6 MM		0	0
FLEDGLING; BURSA 15 X 10 MM		0	0
FLEDGLING; BURSA 3 X 3 MM		0	0
FLEDGLING; BURSA 3 X 3 MM; SKULL		0	0
FLEDGLING; BURSA 4 X 2 MM		0	0
FLEDGLING; BURSA 4 X 2 MM; SKULL		0	0
FLEDGLING; BURSA 4 X 3 MM		0	0
FLEDGLING; BURSA 4 X 3 MM; SKULL		0	0
FLEDGLING; BURSA 5 X 2 MM		0	0
FLEDGLING; BURSA 5 X 2 MM, SKULL		0	0
FLEDGLING; BURSA 5 X 2 MM; SKULL		0	0
FLEDGLING; BURSA 5 X 3 MM		0	0
FLEDGLING; BURSA 5 X 4 MM; SKULL		0	0
FLEDGLING; BURSA 5 X 5 MM		0	0
FLEDGLING; BURSA 5 X 5 MM; SKULL		0	0
FLEDGLING; BURSA 6 X 3 M		0	0
FLEDGLING; BURSA 6 X 3 MM; SKULL		0	0
FLEDGLING; BURSA 6 X 4 MM		0	0
FLEDGLING; BURSA 6 X 4 MM; SKULL		0	0
FLEDGLING; BURSA 6 X 6 M		0	0
FLEDGLING; BURSA 7 X 4 MM		0	0
FLEDGLING; BURSA 7 X 4 MM; SKULL		0	0
FLEDGLING; BURSA 7 X 6 MM		0	0
FLEDGLING; BURSA 8 X 6 MM		0	0
FLEDGLING; BURSA 9 X 10 MM; SKUL		0	0
FLEDGLING; BURSA 9 X 6 MM		0	0
FLEDGLING; BURSA 9 X 8 MM		0	0
FLEDGLING; BURSA NOT FOUND		0	0
FLEDGLING; BURSA NOT FOUND;		0	0
FLEDGLING; BURSA NOT FOUND; SKUL		0	0
fledgling; Immature		0	0
Fledgling?		0	0
Fledglings left nest 3 days prio		0	0
Fledglings left nest 3 days prior		0	0
FLEDLGING; BURSA 8 X 9 MM		0	0
FLEDLING		0	0
FLEDLING;		0	0
FLEDLING; BURSA NOT FOUND		0	0
Flesh		0	0
FLG		0	0
flycatcher just begun, titmouse 		0	0
F-not stated on tag		0	1
Foetal		0	0
foetus		0	0
foetus, 16 cm (4 months)		0	0
foetus, 25 cm		0	0
Foetus, full term		0	0
Foetus, stillborn		0	0
foetus; 0 day		0	0
for adv.		0	0
for advanced		0	0
FOR KANSAS		0	0
formed		0	0
formed embryo		0	0
formed embryos		0	0
formed embryos (deserted)		0	0
Formed embryos in all		0	0
formed embyo		0	0
formed emryos		0	0
forming		0	0
Found 10 June.  One egg of 3 did		0	0
Found 10 June.  One egg of 3 did not hatch		0	0
Found 5/11/13: Almost fresh		0	0
Found abandoned egg on sandy flo		0	0
Found abandoned egg on sandy floor of rear of cave		0	0
Found as c/4 on 8 June		0	0
FOUND BEACH; DIED SAME DAY AT S.		0	0
Found below eyrie on ground		0	0
Found broken in nest		0	0
Found broken in nest.		0	0
Found Broken With Dessicated Chi		0	0
Found Broken With Dessicated Chick		0	0
Found Broken, Assumed Hatched		0	0
found in oviduct		0	0
FOUND INJURED (SEE PAPER FILE FO		0	0
FOUND INJURED; DIED SAME DAY AT 		0	0
FOUND WITH BROKEN WING; EUTAHNIZ		0	0
Found With One Side Crushed		0	0
Four 1/3; one not fertile		0	0
Four 20 Day Old Chicks		0	0
Four about one-half; one rotten;		0	0
four advanced		0	0
Four days		0	0
four days advanced		0	0
Four days begun		0	0
Four days incubated		0	0
Four days old.		0	0
Four eggs fresh, one egg addled		0	0
Four eggs hatched & fledged in t		0	0
Four eggs hatched & fledged in the wild.		0	0
Four eggs hatched & fledged.		0	0
Four eggs laid; two hatched. One		0	0
Four eggs laid; two hatched. One egg lost, one egg		0	0
Four eggs partly incubated - one		0	0
Four eggs- slight, one egg- addl		0	0
Four eggs- slight, one egg- addled		0	0
Four eyases fledged from this ne		0	0
Four eyases fledged from this nest.		0	0
Four fifths		0	0
four fledged, 1 egg left in nest		0	0
Four fresh, one ten day		0	0
four fresh. One just started.		0	0
four had large embryos - one fre		0	0
four hard set, one addled		0	0
Four or five days		0	0
Four or five days advanced		0	0
four slight, 1 addled		0	0
four to five days		0	0
Four young hatched in wild		0	0
Four young hatched in wild.		0	0
four-fifths		0	0
Fourth		0	0
Fourth- addled		0	0
Fourth winter		0	0
FOURTH YEAR	fourth year	1	1
Fourthfifths		0	0
FR	larva	0	1
fr.		0	0
Fr. (Des.)		0	0
Fr.-Addl.		0	0
Fr4esh		0	0
Fragements; hatched 17 May 1988		0	0
Fragements; infertile (probably 		0	0
Fragements; infertile (probably goes with cat # 17		0	0
Fragemnts only		0	0
Fragment		0	0
Fragments		0	0
Fragments (two Samples)		0	0
Fragments collected when chick b		0	0
Fragments collected when chick banded.		0	0
Fragments form 1 hatched egg.		0	0
Fragments from  unknown number o		0	0
Fragments from  unknown number of eggs. Eggs broke		0	0
Fragments from 2 eggs broken dur		0	0
Fragments from 2 eggs broken during first three da		0	0
fragments from 2 eggs that broke		0	0
fragments from 2 eggs that broke in nest, 2 other 		0	0
Fragments from 2 hatched eggs, y		0	0
Fragments from 2 hatched eggs, young fledged succe		0	0
Fragments from 3 hatched eggs, a		0	0
Fragments from 3 hatched eggs, all (females) fledg		0	0
Fragments from all four eggs; al		0	0
Fragments from all four eggs; all fledged successf		0	0
Fragments from failed nest		0	0
Fragments from hatched eggs		0	0
Fragments from hatched eggs; you		0	0
Fragments from hatched eggs; young fledged success		0	0
Fragments of hatched eggs		0	0
Fragments only		0	0
fragments only; 1 addled egg wit		0	0
fragments only; 1 addled egg with crack, Length=72		0	0
Fragments Two Samples		0	0
Fragments, 3 Young Produced		0	0
Fragments, Banded 1 Young		0	0
Fragments, Banded 2 Young		0	0
Fragments, Banded 3 Young		0	0
Fragments, Banded 4 Young		0	0
Fragments, I Female Fledged		0	0
Fragments, Three Young Fledged		0	0
Fragments.		0	0
Fragments; infertile		0	0
Fragments; infertile (1 young)		0	0
Fragments; infertile; 2 eggs, 2 		0	0
Fragments; infertile; 2 eggs, 2 successful young (		0	0
Fragments; infertile; to. Wt. 36		0	0
Fragments; infertile; to. Wt. 36g, to. Ln. 50.5mm,		0	0
Fragments; Nest failed, one whol		0	0
Fragments; Nest failed, one whole egg removed		0	0
Fragments; not clean		0	0
Fragments;fertile, embryo died a		0	0
Fragments;fertile, embryo died after 2 weeks artif		0	0
Fragments-broke in nest.  At lea		0	0
Fragments-broke in nest.  At least 14 days of inc.		0	0
Fragments-Eggs broke in wild.  E		0	0
Fragments-Eggs broke in wild.  Eggshell thickness;		0	0
Frag-recycle (lower)		0	0
Frais		0	0
Freash		0	0
fredh		0	0
free		0	0
free from incubation but addled		0	0
freh		0	0
frehs to 1/2		0	0
fres		0	0
fresca		0	0
Fresch		0	0
frescos		0	0
fresg		0	0
Fresh		0	0
Fresh   8 days		0	0
fresh - (commenced)		0	0
fresh - 1 day		0	0
Fresh - 1 started		0	0
fresh - 1/2		0	0
fresh - 1/3		0	0
fresh - 1/4		0	0
fresh - 1/4; 1 infertile		0	0
Fresh - 1/64		0	0
fresh - 10 days		0	0
fresh - 2		0	0
fresh - 2 days		0	0
fresh - 2 eggs 5.12		0	0
fresh - 3 days		0	0
fresh - 4 days		0	0
fresh - 5 days		0	0
fresh - about 1/4		0	0
fresh - addled		0	0
fresh - advanced		0	0
fresh - all eggs		0	0
fresh - begun		0	0
Fresh - Bird left		0	0
fresh - bird sitting		0	0
fresh - bloody		0	0
fresh - broken during incubation		0	0
fresh - chicks formed		0	0
fresh - commenced		0	0
fresh - deserted		0	0
fresh - deserted (slightly conge		0	0
fresh - deserted set		0	0
Fresh - female on nest		0	0
fresh - half		0	0
Fresh - held 1 egg 2 days ago		0	0
fresh - incomplete		0	0
fresh - lemon-colored yolks		0	0
Fresh - light orange yolks		0	0
fresh - medium		0	0
fresh - moderate		0	0
fresh - nest apparently abandone		0	0
fresh - nest apparently abandoned		0	0
Fresh - nest deserted		0	0
Fresh - Not sat on		0	0
Fresh - one day		0	0
Fresh - one runt egg		0	0
fresh - one slight		0	0
fresh - orange tinged yolks		0	0
Fresh - probably incomplete		0	0
Fresh - probably second set		0	0
Fresh - set complete		0	0
fresh - set inclomplete?		0	0
Fresh - set incomplete		0	0
fresh - set practically immacula		0	0
fresh - showing		0	0
fresh - slight		0	0
fresh - small embryos		0	0
fresh - started		0	0
fresh - straw yellow yolks		0	0
fresh - trace		0	0
fresh - very slight		0	0
fresh - well along		0	0
fresh - well begun		0	0
fresh - well started		0	0
fresh - yolks a lemon color		0	0
Fresh "commenced"		0	0
Fresh & 2 days for 1 R Warbler		0	0
fresh & 3 days		0	0
fresh & 3 days (fresh? Unfertile		0	0
fresh & 3/4		0	0
fresh & addled		0	0
fresh & began		0	0
fresh & begun		0	0
fresh & blood vein in yolk		0	0
fresh & commenced		0	0
fresh & considerable		0	0
Fresh & deserted		0	0
fresh & fresh		0	0
Fresh & incubated eggs.		0	0
fresh & partly		0	0
fresh & showing		0	0
fresh & showing blood		0	0
Fresh & Slight		0	0
Fresh & slight (2)		0	0
Fresh & Slight , one day to last		0	0
Fresh & Slight , one day to last but variable		0	0
Fresh & slight trace		0	0
Fresh & Slight Trace Of Bllod		0	0
Fresh & Small Embryo		0	0
Fresh & Small Embryos		0	0
Fresh & started		0	0
Fresh & started.		0	0
Fresh & Trace Of Blood		0	0
fresh & turning		0	0
Fresh & with embryo		0	0
Fresh ( 1 day )		0	0
Fresh ( left 3 days)		0	0
fresh ( one egg + blood vein in 		0	0
fresh ( one egg + blood vein in yolk)		0	0
fresh (?)		0	0
Fresh (?deserted?)		0	0
Fresh (1 Broken)		0	0
fresh (1 day incubation)		0	0
Fresh (1 day)		0	0
Fresh (1 egg 5 days ago)		0	0
Fresh (1 egg missing)		0	0
Fresh (1 egg on 7/5)		0	0
Fresh (1 missing)		0	0
Fresh (1 Showed Trace)		0	0
fresh (1) showing blood (4)		0	0
Fresh (1) to 1/2 incubated (2)		0	0
Fresh (1) To Large Chicks		0	0
Fresh (1) To Large Embryos		0	0
Fresh (1) to small embryos (2)		0	0
Fresh (1) to well begun		0	0
Fresh (1); started (2); advanced		0	0
Fresh (1); started (2); advanced (1)		0	0
fresh (1/4)		0	0
Fresh (17 eggs), Blood (2 eggs)		0	0
fresh (2 days incubated)		0	0
Fresh (2 days)		0	0
Fresh (2 eggs + pieces of a thir		0	0
Fresh (2 eggs + pieces of a third)		0	0
Fresh (2 Lost)		0	0
Fresh (2) started		0	0
fresh (2) to over 10 days incuba		0	0
Fresh (2), showing blood (1)		0	0
Fresh (2), started (1), and drie		0	0
Fresh (2), well started (5), & i		0	0
Fresh (2), well started (5), & incubated (1)		0	0
Fresh (2); & showing blood (3)		0	0
fresh (2-3 eggs full clutch)		0	0
Fresh (24 hours)		0	0
fresh (24 hr)		0	0
Fresh (3 days)		0	0
fresh (3) to 4 or 5 days started		0	0
Fresh (3) To Well Begun		0	0
Fresh (4)		0	0
Fresh (4) To Soft Embryos		0	0
Fresh (6 days)		0	0
Fresh (A trace of red)		0	0
Fresh (addled)		0	0
Fresh (apparently deserted)		0	0
Fresh (appear somewhat congealed		0	0
Fresh (at most 2 days		0	0
fresh (bird incubating)		0	0
fresh (bird on nest)		0	0
Fresh (bird on nest? Sitting?)		0	0
fresh (bird sitting)		0	0
Fresh (but presumably 2 days)		0	0
Fresh (but several days)		0	0
Fresh (claw hole in two eggs)		0	0
Fresh (comm'd)		0	0
fresh (commenced)		0	0
fresh (commenced?)		0	0
Fresh (complete lay)		0	0
Fresh (complete)		0	0
Fresh (congealed)		0	0
Fresh (curdled) + Rotten		0	0
Fresh (curdles) + Rotten		0	0
Fresh (deserted)		0	0
fresh (double yolk)		0	0
fresh (early for this locality)		0	0
Fresh (early season)		0	0
fresh (egg contained 2 yolks)		0	0
Fresh (eggs warm)		0	0
Fresh (Fh.)		0	0
fresh (host slight)		0	0
Fresh (I am sure the quail laid 		0	0
Fresh (I am sure the quail laid her eggs first)		0	0
fresh (incomplete clutch)		0	0
fresh (incomplete set, however b		0	0
fresh (incomplete set, however bird incubating)		0	0
Fresh (incomplete set?)		0	0
Fresh (incomplete)		0	0
fresh (incomplete, deserted)		0	0
fresh (just begun)		0	0
Fresh (left 3 Days For More)		0	0
fresh (left for 24 hours)		0	0
Fresh (lemon colored yolks)		0	0
fresh (nearly)		0	0
fresh (no doubt incomplete clutc		0	0
fresh (no doubt incomplete clutch)		0	0
fresh (not commenced)		0	0
fresh (one day)		0	0
Fresh (one dented by bird in lea		0	0
Fresh (one dented by bird in leaving nest)		0	0
fresh (one dwarf had a yolk)		0	0
Fresh (one egg on 4, May)		0	0
Fresh (one egg) the other incuba		0	0
Fresh (only 3 Eggs Collected)		0	0
fresh (orange colored yolks)		0	0
fresh (orange-colored yolks)		0	0
fresh (oviduct egg)		0	0
Fresh (perfectly)		0	0
fresh (probably comenced)		0	0
Fresh (probably commenced)		0	0
Fresh (probably deserted by 15 V		0	0
Fresh (probably deserted by 15 VI)		0	0
fresh (probably incomplete clutc		0	0
fresh (probably incomplete clutch)		0	0
fresh (probably incomplete)		0	0
Fresh (rotten)		0	0
fresh (see card)		0	0
Fresh (see 'notes')		0	0
Fresh (see remarks) - bird not y		0	0
fresh (sitting)		0	0
Fresh (slight Trace In One Egg)		0	0
fresh (slightly addled)		0	0
Fresh (stale)		0	0
fresh (tacky)		0	0
Fresh (then deserted)		0	0
fresh (trace in two)		0	0
fresh (trace)		0	0
Fresh (Two addled)		0	0
Fresh (warm)		0	0
fresh (worn)		0	0
Fresh (would have laid 2 more)		0	0
fresh (yolk strong lemon color)		0	0
fresh (yolks a lemon color)		0	0
Fresh : -1		0	0
Fresh : 2		0	0
Fresh : 3		0	0
fresh ?		0	0
fresh ? (0) none		0	0
fresh ? (0) none = c		0	0
Fresh ?Commenced?		0	0
fresh + begun		0	0
fresh + blood traces		0	0
Fresh + complete		0	0
fresh + incu.		0	0
Fresh + incubated - various stag		0	0
fresh + medium		0	0
fresh + slight, dark egg addled		0	0
fresh + slightly		0	0
fresh + turning		0	0
fresh + v.s.		0	0
fresh + warm		0	0
fresh 1 day		0	0
Fresh 1 days		0	0
Fresh- 1 egg on 24 May		0	0
Fresh- 1 egg showing blood		0	0
Fresh 1 Started		0	0
Fresh 1,2		0	0
Fresh- 1/3.		0	0
fresh 1-3		0	0
Fresh 2 advanced		0	0
Fresh- 2 eggs on 3 Aprin in shed		0	0
Fresh 2/3		0	0
Fresh- 24 hours		0	0
Fresh- 2nd set		0	0
fresh 3 days		0	0
Fresh- 3 days		0	0
fresh 4		0	0
Fresh 4 / incub. Quite advanced 		0	0
Fresh- a 3rd egg fell out of nes		0	0
Fresh- a 3rd egg fell out of nest & broke 29 May		0	0
fresh a trace		0	0
Fresh Abandoned		0	0
fresh additional data on card		0	0
fresh almost		0	0
Fresh and (2) started		0	0
Fresh and (3) started		0	0
Fresh and 1 started		0	0
Fresh and 1/4 advanced		0	0
Fresh and 2 Begun		0	0
Fresh and 2 days		0	0
fresh and 2 started		0	0
Fresh and 3 started		0	0
fresh and 4 started		0	0
Fresh and a trace		0	0
Fresh and addled		0	0
fresh and advanced		0	0
fresh and all eggs cold		0	0
fresh and all stages of incubati		0	0
Fresh and begun		0	0
Fresh and bloody		0	0
Fresh and comm.		0	0
Fresh and commenced		0	0
Fresh and complete		0	0
fresh and done		0	0
Fresh and inc.		0	0
fresh and showing		0	0
fresh and showing blood		0	0
Fresh and showing blood.		0	0
Fresh And Slight		0	0
Fresh and slight respectively		0	0
fresh and slight trace		0	0
Fresh And Slightly Incubated		0	0
Fresh And Small Embryo		0	0
Fresh and small embryos		0	0
Fresh and small embryos.		0	0
fresh and some stale		0	0
Fresh And Started		0	0
fresh and started (2)		0	0
Fresh and started (3)		0	0
fresh and started (4)		0	0
Fresh and started(2)		0	0
fresh and trace		0	0
Fresh and trace in one		0	0
fresh and trace of blood		0	0
Fresh and trace of red in one eg		0	0
Fresh and trace of red in one egg		0	0
Fresh and very slight		0	0
fresh and very slight trace		0	0
fresh and very small embryos		0	0
Fresh and warm		0	0
Fresh and well begun		0	0
Fresh And Well Started		0	0
Fresh and would probably have be		0	0
fresh apparently (probably infer		0	0
Fresh- Apr 13 nest finished but 		0	0
Fresh- Apr 13 nest finished but no eggs.		0	0
fresh b+c = showing blood		0	0
Fresh- begun		0	0
fresh bird sitting		0	0
Fresh blood		0	0
fresh but addled and stuck to sh		0	0
fresh but addled and stuck to shell		0	0
fresh but apparently 4 days		0	0
fresh but appearance of 2 eggs s		0	0
fresh but appearance of 2 eggs shows set to be com		0	0
Fresh but cold; the broken egg w		0	0
Fresh but commenced		0	0
Fresh but congealed		0	0
fresh but deserted		0	0
Fresh but full set		0	0
Fresh but rather dried up		0	0
Fresh but rotten (1 congealed)		0	0
Fresh but started		0	0
Fresh but trace in 2		0	0
Fresh by state		0	0
Fresh- collector broke one		0	0
fresh commenced		0	0
Fresh- commenced		0	0
fresh commensed		0	0
Fresh deserted		0	0
Fresh- deserted		0	0
Fresh- early season		0	0
Fresh eggs		0	0
Fresh eggs (1 broke at removal)		0	0
Fresh- eggs missing		0	0
Fresh- eggs missing?		0	0
Fresh eggs: 6; Trace of blood: 4		0	0
Fresh eggs: 6; Trace of blood: 4,5,7; Small embryo		0	0
Fresh except for the first laid.		0	0
fresh except in dark egg which s		0	0
Fresh- Female caught and another		0	0
Fresh- Female caught and another egg found in ovid		0	0
Fresh- female on nest		0	0
fresh for two, slight in one, 1/		0	0
fresh for two, slight in one, 1/2 in other		0	0
Fresh- found empty on the 20th		0	0
Fresh- found on the 28th w/ 1 eg		0	0
Fresh- found on the 28th w/ 1 egg.		0	0
Fresh from well begun		0	0
Fresh in		0	0
Fresh in #s 1&3, trace in #s 2&4		0	0
fresh in 1-3, trace in 4		0	0
Fresh In 3; Started In 3		0	0
fresh in 4, slight in 1		0	0
Fresh in All		0	0
fresh in all - hole used last ye		0	0
fresh in all - hole used last year		0	0
Fresh In All Eggs		0	0
fresh in all eggs except #1 and 		0	0
fresh in all eggs except #1 and #2 (showing blood)		0	0
fresh in each		0	0
Fresh in each set		0	0
fresh in host, slight in cowbird		0	0
fresh in one, slight in other		0	0
fresh in one, slightly advanced 		0	0
fresh in one, slightly advanced in others		0	0
fresh in one, trace in two		0	0
fresh in part, very slight incub		0	0
fresh in two, just started in on		0	0
fresh in two, just started in one		0	0
fresh incomplete		0	0
fresh- incomplete		0	0
fresh infertile		0	0
fresh June 20, the day before de		0	0
fresh June 20, the day before deserted		0	0
fresh laid		0	0
fresh nearly		0	0
Fresh- nest abandoned		0	0
Fresh- nest built & 2 eggs laid 		0	0
Fresh- nest built & 2 eggs laid within 6 days		0	0
Fresh- nest deserted		0	0
Fresh- nest held 1 egg 5 days ag		0	0
Fresh- nest held 1 egg 5 days ago		0	0
Fresh- nest held 2 eggs on the 1		0	0
Fresh- nest held 2 eggs on the 13th.		0	0
Fresh- nest hole started on 14th		0	0
Fresh- nest hole started on 14th April		0	0
Fresh- nest was unlined on the 1		0	0
Fresh- nest was unlined on the 17th		0	0
fresh- no development		0	0
Fresh- No eggs on Mar 24th		0	0
Fresh- not complete		0	0
fresh not started		0	0
fresh on 23rd, well for 2 embryo		0	0
Fresh one double yolk		0	0
Fresh- one egg a runt		0	0
Fresh- one egg broke		0	0
Fresh- one missing		0	0
Fresh- one of 18 nests		0	0
fresh or almost so		0	0
Fresh or barely started		0	0
Fresh or barley started		0	0
fresh or begun		0	0
fresh or begun (see remarks)		0	0
Fresh or incubated 1 day		0	0
fresh or infertile to advanced		0	0
fresh or infertile-no developmen		0	0
fresh or just stated		0	0
fresh or near		0	0
fresh or near embryo		0	0
Fresh or nearly		0	0
Fresh or nearly so		0	0
Fresh or nearly so.		0	0
fresh or slight		0	0
Fresh or slight.		0	0
fresh or slightly incubated		0	0
Fresh Or Started		0	0
Fresh or Started (see remarks)		0	0
Fresh or trace		0	0
Fresh or v. slight		0	0
Fresh Possibly Incomplete		0	0
Fresh probably commenced		0	0
Fresh- probably commenced		0	0
fresh- runt no yolk		0	0
Fresh- see data card		0	0
Fresh- set complete		0	0
Fresh- set incomplete		0	0
Fresh- set probably incomplete		0	0
fresh slight		0	0
fresh slight + begun		0	0
Fresh- slight traces of blood in		0	0
Fresh- slight traces of blood in several.		0	0
fresh to 1 day		0	0
Fresh to 1 week		0	0
Fresh to 1/2		0	0
Fresh to 1/2 advanced		0	0
Fresh to 1/2.		0	0
Fresh to 1/3		0	0
fresh to 1/3 adv.		0	0
Fresh to 1/4		0	0
Fresh to 1/4 incubated		0	0
fresh to 10 days		0	0
Fresh to 10%		0	0
Fresh to 12 days		0	0
Fresh to 13 days, 1 infertile		0	0
fresh to 2 or 3 days		0	0
Fresh to 2/3rds		0	0
Fresh to 2-3 days incubation		0	0
Fresh to 25%		0	0
fresh to 3 days		0	0
fresh to 3 or 4 days		0	0
Fresh to 3/4 days		0	0
fresh to 4 days		0	0
Fresh To 5 Days		0	0
Fresh to 5 days advanced		0	0
fresh to 6 days		0	0
Fresh to 6 eggs.		0	0
Fresh To 7 Days		0	0
Fresh to 72 hours		0	0
fresh to a  few days inc.		0	0
fresh to a few days inc.		0	0
Fresh to about 1/4		0	0
Fresh to about 10%		0	0
fresh to about 5 days		0	0
Fresh to about half		0	0
Fresh to adv.		0	0
Fresh to advance		0	0
Fresh To Advanced		0	0
Fresh to advanced, 2 infertile		0	0
fresh to advanced/feathered (pos		0	0
fresh to all stages		0	0
fresh to almost complete		0	0
Fresh to appreciable		0	0
Fresh to badly		0	0
Fresh to barely started		0	0
Fresh to began		0	0
fresh to beginning		0	0
Fresh To Begun		0	0
Fresh to begun. Embryo forming		0	0
fresh to bloody		0	0
Fresh to commenced		0	0
Fresh to Commenced.		0	0
fresh to complete		0	0
fresh to considerable blood		0	0
Fresh To Eight Days		0	0
Fresh To Embryo Forming		0	0
fresh to embryos		0	0
fresh to far		0	0
fresh to formed embryos		0	0
fresh to good trace of blood		0	0
fresh to half		0	0
Fresh to half incubated		0	0
Fresh to half-completed		0	0
Fresh to hard		0	0
Fresh to hatched		0	0
Fresh to heavy		0	0
Fresh to heavy.		0	0
fresh to just begun		0	0
Fresh to just begun.		0	0
fresh to just showing blood stre		0	0
fresh to just showing blood streak		0	0
fresh to just started		0	0
fresh to just turned		0	0
Fresh To Large Embryos		0	0
Fresh to medium		0	0
fresh to moderate		0	0
Fresh to moderate incubated eggs		0	0
fresh to moderate-dead		0	0
Fresh to one fourth		0	0
fresh to one fourth.		0	0
Fresh To One Third		0	0
Fresh to one week		0	0
Fresh to one week advanced		0	0
Fresh to over 1/2		0	0
Fresh to several days		0	0
fresh to showing		0	0
fresh to showing blood		0	0
Fresh To Slight		0	0
Fresh to slight (irregular)		0	0
fresh to slight on 2 eggs		0	0
fresh to slight trace		0	0
fresh to slight, uneven		0	0
Fresh to slight.		0	0
fresh to slight-dead		0	0
Fresh to slightly incubated		0	0
Fresh to small chicks		0	0
fresh to small embryo		0	0
fresh to small embryos		0	0
Fresh to small eyes		0	0
Fresh to soft bones		0	0
Fresh To Started		0	0
Fresh to started.		0	0
Fresh to starting		0	0
Fresh to tiny emb		0	0
fresh to trace		0	0
fresh to trace blood		0	0
fresh to trace of blood		0	0
Fresh To Two Thirds		0	0
Fresh to variable		0	0
Fresh to very heavy		0	0
fresh to very slight		0	0
fresh to very slight trace		0	0
fresh to very small embryo		0	0
fresh to very small embryos		0	0
Fresh to well advanced		0	0
Fresh to well along		0	0
Fresh To Well Begun		0	0
Fresh to well incubated		0	0
fresh to well started		0	0
fresh with a little blood		0	0
fresh worthy		0	0
Fresh- yolkless		0	0
fresh!!		0	0
Fresh(?)		0	0
fresh(1 day)		0	0
fresh(egg #3 showing blood)		0	0
fresh-(very slight) (contents no		0	0
fresh-(very slight) (contents normal)		0	0
fresh,		0	0
fresh, 1 addled		0	0
fresh, 1 begun		0	0
Fresh, 1 day		0	0
Fresh, 1 day apparently		0	0
fresh, 1 egg addled		0	0
fresh, 1 started		0	0
fresh, 10 days		0	0
fresh, 2 begun		0	0
fresh, 2 days		0	0
fresh, 2 days started		0	0
Fresh, 2 eggs showing indication		0	0
Fresh, 2 eggs showing indications of incubation		0	0
fresh, 2 started		0	0
fresh, 2 trace		0	0
fresh, 2 traces of blood		0	0
Fresh, 2 were incubated.  Also t		0	0
Fresh, 2 were incubated.  Also there were 4 pin fe		0	0
fresh, 2-3 days		0	0
fresh, 24 hours		0	0
fresh, 2nd laying?		0	0
fresh, 3 days		0	0
fresh, 3 when first found		0	0
fresh, about 10 days		0	0
Fresh, about 8 days		0	0
fresh, addled		0	0
fresh, addled - 2/3 gone		0	0
Fresh, addled and 1/2		0	0
fresh, although Towhee on test 2		0	0
fresh, and nest deserted		0	0
Fresh, apparently commenced		0	0
fresh, began, embryo		0	0
fresh, begun		0	0
fresh, bird apparently sitting		0	0
fresh, bird sitting		0	0
fresh, birds sitting		0	0
fresh, blood		0	0
fresh, blood lines becoming in 2		0	0
fresh, bloody		0	0
fresh, but becoming addled		0	0
fresh, but becoming sterile		0	0
Fresh, but comp.		0	0
Fresh, but contents somewhat dri		0	0
Fresh, but contents somewhat dried and hard to blo		0	0
Fresh, but set certainly complet		0	0
fresh, but showing signs of stal		0	0
Fresh, commenced		0	0
fresh, commenced deserted from 2		0	0
fresh, commenced deserted from 29, apr		0	0
Fresh, commenced.		0	0
fresh, complete lay		0	0
fresh, decidedly		0	0
fresh, deserted		0	0
fresh, deserted? (2 days)		0	0
Fresh, eggs missing		0	0
Fresh, feathers		0	0
fresh, going rotten		0	0
fresh, host broken		0	0
Fresh, incomplete		0	0
fresh, infertile		0	0
fresh, infertile, addled		0	0
fresh, just begun		0	0
fresh, just showing blood		0	0
Fresh, large colony		0	0
fresh, large embryo		0	0
fresh,- lemon colored yolks		0	0
fresh, nearly		0	0
Fresh, nest flooded, eggs sunbak		0	0
Fresh, nest flooded, eggs sunbaked		0	0
fresh, nest held 1 egg 4 days ag		0	0
fresh, nest held 1 egg June 1		0	0
fresh, one ovum enlarging		0	0
fresh, one stale		0	0
Fresh, One Started		0	0
fresh,- orange colored yolks		0	0
Fresh, over one day		0	0
Fresh, over two days		0	0
fresh, partly dried up (see card		0	0
fresh, Phoebe started		0	0
Fresh, presumably commenced		0	0
fresh, prob. Commenced		0	0
fresh, probably 24 hours		0	0
Fresh, probably commenced		0	0
Fresh, probably commenced, 24 ho		0	0
Fresh, probably commenced, 24 hours		0	0
Fresh, probably commenced.		0	0
fresh, red streaked		0	0
fresh, runt contained no yolks		0	0
fresh, set complete		0	0
fresh, set incomplete		0	0
fresh, several days		0	0
fresh, showing		0	0
fresh, showing bllod, small embr		0	0
Fresh, Showing Blood		0	0
Fresh, showing blood, infertile		0	0
fresh, showing blood, small embr		0	0
fresh, showing blood, small embryos		0	0
fresh, slight		0	0
Fresh, slight 3 days		0	0
Fresh, Slight Trace & Trace Bloo		0	0
Fresh, Slight Trace & Trace Blood		0	0
