"verbatimLifeStage","standardLifeStage","uri","checked","opinionBy","opinionDate"
" showing blood, small  embryo","embro",,1,"John Wieczorek","2017-08-25"
" Slight",,,0,"John Wieczorek","2018-10-10"
" small embryos","embro",,1,"John Wieczorek","2017-08-25"
" stale& slight",,,0,"John Wieczorek","2017-08-25"
" Very Slight",,,0,"John Wieczorek","2018-10-10"
"
",,,1,"David Bloom","2019-09-03"
"! F chick banded. 1/2 had a smal",,,0,"John Wieczorek","2017-08-25"
"! F chick banded. 1/2 had a small embryo, 2/2 had ",,,0,"John Wieczorek","2017-08-25"
"""","unknown",,1,"John Wieczorek","2017-08-25"
"""5/6 j"" (5-6 days)",,,0,"John Wieczorek","2017-08-25"
"""a few incubated"" (? few days)",,,0,"John Wieczorek","2017-08-25"
"""about 5 Days In All""",,,0,"John Wieczorek","2017-08-25"
"""ad""","adult",,1,"John Wieczorek","2017-08-25"
"""Ad."" [= Im.]","adult",,1,"John Wieczorek","2017-08-25"
"""ADULT"" PLUMAGE; BURSA 2 X 2 MM;",,,0,"John Wieczorek","2017-08-25"
"""ADULT?""","adult",,1,"John Wieczorek","2017-08-25"
"""Bird mature""","adult",,1,"John Wieczorek","2017-08-25"
"""check""","unknown",,1,"John Wieczorek","2017-08-25"
"""couves""",,,0,"John Wieczorek","2017-08-25"
"""FEMALE: PLUMAGED; BURSA 4 X 4 M",,,0,"John Wieczorek","2017-08-25"
"""Few incubated"" (? Few days)",,,0,"John Wieczorek","2017-08-25"
"""Fresh enough to blow""",,,0,"John Wieczorek","2017-08-25"
"""Fresh to one""",,,0,"John Wieczorek","2017-08-25"
"""Friska"" needs translation",,,0,"John Wieczorek","2017-08-25"
"""im""","immature",,1,"John Wieczorek","2017-08-25"
"""im""[ad?]","immature",,1,"John Wieczorek","2017-08-25"
"""IM.""","immature",,1,"John Wieczorek","2017-09-23"
"""immature"" on tag; Adult","immature",,1,"John Wieczorek","2017-09-23"
"""incub.""","incubated",,1,"John Wieczorek","2017-08-25"
"""incubated eggs""","incubated",,1,"John Wieczorek","2017-08-25"
"""incubated""","incubated",,1,"John Wieczorek","2017-08-25"
"""just sat on""",,,0,"John Wieczorek","2017-08-25"
"""juv""","juvenile",,1,"John Wieczorek","2017-08-25"
"""juv. By plumage""","juvenile",,1,"John Wieczorek","2017-09-23"
"""Juv.""","juvenile",,1,"John Wieczorek","2017-08-25"
"""Juv."" First winter of Juv.","juvenile",,1,"John Wieczorek","2017-08-25"
"""Known"" 8 days",,,0,"John Wieczorek","2017-08-25"
"""Mature or nearly so, at least 2","adult",,1,"John Wieczorek","2017-08-25"
"""Mature""","adult",,1,"John Wieczorek","2017-08-25"
"""New""",,,0,"John Wieczorek","2017-08-25"
"""no incubation""",,,0,"John Wieczorek","2017-08-25"
"""Old""",,,0,"John Wieczorek","2017-08-25"
"""Piped"" ""Hatching""",,,0,"John Wieczorek","2017-08-25"
"""slightly inc""",,,0,"John Wieczorek","2017-08-25"
"""slightly""",,,0,"John Wieczorek","2018-10-10"
"""small""",,,0,"John Wieczorek","2017-08-25"
"""started""",,,0,"John Wieczorek","2017-08-25"
"""TYPE""",,,0,"John Wieczorek","2017-08-25"
"""very wave""",,,0,"John Wieczorek","2017-08-25"
"""y. of y.""",,,0,"John Wieczorek","2017-08-25"
"""yg""","young",,1,"John Wieczorek","2017-08-25"
"""yg""[?]","young",,1,"John Wieczorek","2017-08-25"
"""yng of year""","young",,1,"John Wieczorek","2017-08-25"
"""yng""","young",,1,"John Wieczorek","2017-08-25"
"#1 & #2: Large embryo, #3: Small",,,0,"John Wieczorek","2017-08-25"
"#1 & #2: Large embryo, #3: Small embryo",,,0,"John Wieczorek","2017-08-25"
"#1 & #3 Medium embryos, #2 Infer",,,0,"John Wieczorek","2017-08-25"
"#1 & #3 Medium embryos, #2 Infertile",,,0,"John Wieczorek","2017-08-25"
"#1 Addled, #2 Large Embryo",,,0,"John Wieczorek","2017-08-25"
"#1 and #2: trace of blood; #3: v",,,0,"John Wieczorek","2017-08-25"
"#1 and #2: trace of blood; #3: very small embryo",,,0,"John Wieczorek","2017-08-25"
"#1 broke in nest, fragments only",,,0,"John Wieczorek","2017-08-25"
"#1 broke in nest, fragments only; #2 addled, broke",,,0,"John Wieczorek","2017-08-25"
"#1 broke in nest, fragments; #2 ",,,0,"John Wieczorek","2017-08-25"
"#1 broke in nest, fragments; #2 addled, broken",,,0,"John Wieczorek","2017-08-25"
"#1 eyes formed; #2 small embryo",,,0,"John Wieczorek","2017-08-25"
"#1 fresh, #2 & 3 showing blood",,,0,"John Wieczorek","2017-08-25"
"#1 Fresh, #2 Developed Embryo",,,0,"John Wieczorek","2017-08-25"
"#1 fresh, #2 large embryo",,,0,"John Wieczorek","2017-08-25"
"#1 fresh, #2 showing blood",,,0,"John Wieczorek","2017-08-25"
"#1 fresh, #2,3 trace of blood",,,0,"John Wieczorek","2017-08-25"
"#1 Fresh, #3, 4, 5 Very slight t",,,0,"John Wieczorek","2017-08-25"
"#1 Fresh, #3, 4, 5 Very slight trace of blood, #2,",,,0,"John Wieczorek","2017-08-25"
"#1 fresh, 2,3 &4 Full grown",,,0,"John Wieczorek","2017-08-25"
"#1 fresh; #2 showing blood",,,0,"John Wieczorek","2017-08-25"
"#1 infertile #2 embryo",,,0,"John Wieczorek","2017-08-25"
"#1 Infertile, #2 infertile, #3 s",,,0,"John Wieczorek","2017-08-25"
"#1 infertile, fragments; #2 crus",,,0,"John Wieczorek","2017-08-25"
"#1 infertile, fragments; #2 crushed, fragments, em",,,0,"John Wieczorek","2017-08-25"
"#1 large embryo, #2 infertile, #",,,0,"John Wieczorek","2017-08-25"
"#1 large embryo, #2 infertile, #3 medium embryo",,,0,"John Wieczorek","2017-08-25"
"#1 Large embryo; #2 Infertile",,,0,"John Wieczorek","2017-08-25"
"#1 medium embryo; #2 small embry",,,0,"John Wieczorek","2017-08-25"
"#1 medium embryo; #2 small embryo; #3 small embryo",,,0,"John Wieczorek","2017-08-25"
"#1 No inc, #2 No yolk. Nest cont",,,0,"John Wieczorek","2017-08-25"
"#1 No inc, #2 No yolk. Nest contained 1 young",,,0,"John Wieczorek","2017-08-25"
"#1- rotten, #2- no inc, 1 young ",,,0,"John Wieczorek","2017-08-25"
"#1- rotten, #2- no inc, 1 young in nest",,,0,"John Wieczorek","2017-08-25"
"#1&2 fresh, #3 trace of blood",,,0,"John Wieczorek","2017-08-25"
"#1&2 small embryo, #3 fresh",,,0,"John Wieczorek","2017-08-25"
"#1, #2, #3, #4: fresh",,,0,"John Wieczorek","2017-08-25"
"#1, fragments only, eggshell thi",,,0,"John Wieczorek","2017-08-25"
"#1, fragments only, eggshell thickness measured",,,0,"John Wieczorek","2017-08-25"
"#1,2,5: fresh, #3,4,6: trace",,,0,"John Wieczorek","2017-08-25"
"#1,3 Slight trace of blood, #2,4",,,0,"John Wieczorek","2017-08-25"
"#1,3 Slight trace of blood, #2,4 Trace of blood, #",,,0,"John Wieczorek","2017-08-25"
"#1,3,4 Fresh, #2 Slight trace of blood",,,0,"John Wieczorek","2017-08-25"
"#1,3,4,6,7,8 Fresh, #2,5 Slight ",,,0,"John Wieczorek","2017-08-25"
"#1,3,4,6,7,8 Fresh, #2,5 Slight trace of blood.",,,0,"John Wieczorek","2017-08-25"
"#1,3,5,6,7 Fresh, #2,4 Slight tr",,,0,"John Wieczorek","2017-08-25"
"#1,3,5,6,7 Fresh, #2,4 Slight trace of blood",,,0,"John Wieczorek","2017-08-25"
"#1,4 fresh; #2,3 trace of blood",,,0,"John Wieczorek","2017-08-25"
"#1,4 Slight trace of blood, #2,3",,,0,"John Wieczorek","2017-08-25"
"#1,4 Slight trace of blood, #2,3 Trace of blood,",,,0,"John Wieczorek","2017-08-25"
"#1: 1.640g (medium); #2: 1.617g ",,,0,"John Wieczorek","2017-08-25"
"#1: 1.640g (medium); #2: 1.617g (slight); #3: 1.73",,,0,"John Wieczorek","2017-08-25"
"#1: almost fresh, #2: slightly, ",,,0,"John Wieczorek","2017-08-25"
"#1: fresh; #s 2 & 3: trace (show",,,0,"John Wieczorek","2017-08-25"
"#1: fresh; #s 2 & 3: trace (showing blood)",,,0,"John Wieczorek","2017-08-25"
"#1: fully formed chick #2: Large",,,0,"John Wieczorek","2017-08-25"
"#1: fully formed chick #2: Large embryo #3: Small ",,,0,"John Wieczorek","2017-08-25"
"#1: Large embryo. #2 Not recorde",,,0,"John Wieczorek","2017-08-25"
"#1: Large embryo. #2 Not recorded. Nest contained ",,,0,"John Wieczorek","2017-08-25"
"#1: medium embryo, #2: fresh, #3",,,0,"John Wieczorek","2017-08-25"
"#1: medium embryo, #2: fresh, #3: showing blood, #",,,0,"John Wieczorek","2017-08-25"
"#1: No inc., #2: Small embryo. N",,,0,"John Wieczorek","2017-08-25"
"#1: No inc., #2: Small embryo. Neither egg was ""so",,,0,"John Wieczorek","2017-08-25"
"#1: showing blood; #2: small emb",,,0,"John Wieczorek","2017-08-25"
"#1: showing blood; #2: small embryo",,,0,"John Wieczorek","2017-08-25"
"#1: small eyeballs; #2 & 4: tiny",,,0,"John Wieczorek","2017-08-25"
"#1: small eyeballs; #2 & 4: tiny embryos; #3: fres",,,0,"John Wieczorek","2017-08-25"
"#1: very small embryo; # 2 & 3: ",,,0,"John Wieczorek","2017-08-25"
"#1:embryo ~ 5mm, #2: clear",,,0,"John Wieczorek","2017-08-25"
"#1:very slight trace of blood, #2,#3:slight trace ",,,0,"John Wieczorek","2017-08-25"
"#1; eggshell fragment",,,0,"John Wieczorek","2017-08-25"
"#11; eggshell fragments collecte",,,0,"John Wieczorek","2017-08-25"
"#11; eggshell fragments collected from two sites",,,0,"John Wieczorek","2017-08-25"
"#120,121,122 Hatched, #123 Infer",,,0,"John Wieczorek","2017-08-25"
"#120,121,122 Hatched, #123 Infertil",,,0,"John Wieczorek","2017-08-25"
"#1-3 Large Embryos, #4 Infertile",,,0,"John Wieczorek","2017-08-25"
"#1-3 trace of blood; #4 fresh",,,0,"John Wieczorek","2017-08-25"
"#14 fragments only, eggshell thi",,,0,"John Wieczorek","2017-08-25"
"#14 fragments only, eggshell thickness measured",,,0,"John Wieczorek","2017-08-25"
"#15, fragments only, eggshell th",,,0,"John Wieczorek","2017-08-25"
"#15, fragments only, eggshell thickness measured",,,0,"John Wieczorek","2017-08-25"
"#15; eggshell fragments from 1-2",,,0,"John Wieczorek","2017-08-25"
"#15; eggshell fragments from 1-2 eggs",,,0,"John Wieczorek","2017-08-25"
"#16; eggshell fragments collecte",,,0,"John Wieczorek","2017-08-25"
"#16; eggshell fragments collected from 3 sites wit",,,0,"John Wieczorek","2017-08-25"
"#17, fragments only, eggshell th",,,0,"John Wieczorek","2017-08-25"
"#17, fragments only, eggshell thickness measured",,,0,"John Wieczorek","2017-08-25"
"#17; hatched eggshell fragments;",,,0,"John Wieczorek","2017-08-25"
"#17; hatched eggshell fragments; found with chick",,,0,"John Wieczorek","2017-08-25"
"#18; eggshell fragments from one",,,0,"John Wieczorek","2017-08-25"
"#18; eggshell fragments from one site within cave ",,,0,"John Wieczorek","2017-08-25"
"#19; eggshell fragments from one",,,0,"John Wieczorek","2017-08-25"
"#19; eggshell fragments from one site within cave ",,,0,"John Wieczorek","2017-08-25"
"#1large embryo, 2 and not record",,,0,"John Wieczorek","2017-08-25"
"#1large embryo, 2 and not recorded",,,0,"John Wieczorek","2017-08-25"
"#1large embryo, 2,3,4,5,6,7 and ",,,0,"John Wieczorek","2017-08-25"
"#1large embryo, 2,3,4,5,6,7 and 8 small embryos",,,0,"John Wieczorek","2017-08-25"
"#1medium embryo, 2 and 3 small e",,,0,"John Wieczorek","2017-08-25"
"#1medium embryo, 2 and 3 small embryos",,,0,"John Wieczorek","2017-08-25"
"#1-slight, #2-slight, 3#-small-m",,,0,"John Wieczorek","2017-08-25"
"#1-slight, #2-slight, 3#-small-medium embryo",,,0,"John Wieczorek","2017-08-25"
"#1small embryo, 2 and 3 not reco",,,0,"John Wieczorek","2017-08-25"
"#1small embryo, 2 and 3 not recorded",,,0,"John Wieczorek","2017-08-25"
"#2 Fresh, #1 Slight Traace of bl",,,0,"John Wieczorek","2017-08-25"
"#2 Fresh, #1 Slight Traace of blood, #3 Trace of b",,,0,"John Wieczorek","2017-08-25"
"#2 Fresh, #1,3 Slight trace of b",,,0,"John Wieczorek","2017-08-25"
"#2 Fresh, #1,3 Slight trace of blood",,,0,"John Wieczorek","2017-08-25"
"#2 Fresh, #3 Slight trace of blo",,,0,"John Wieczorek","2017-08-25"
"#2 Fresh, #3 Slight trace of blood, #4 Trace of bl",,,0,"John Wieczorek","2017-08-25"
"#2 Fresh, #4 Slight trace of blo",,,0,"John Wieczorek","2017-08-25"
"#2 Fresh, #4 Slight trace of blood, #1,3 Trace of ",,,0,"John Wieczorek","2017-08-25"
"#2 Large embryo",,,0,"John Wieczorek","2017-08-25"
"#2 Slight trace of blood, #1 Tra",,,0,"John Wieczorek","2017-08-25"
"#2 Slight trace of blood, #1 Trace of blood.",,,0,"John Wieczorek","2017-08-25"
"#2 Trace of blood, #1, 6 Very sm",,,0,"John Wieczorek","2017-08-25"
"#2 Trace of blood, #1, 6 Very small embryo, #3,4,5",,,0,"John Wieczorek","2017-08-25"
"#2: Fresh; #3: Slight Trace Of B",,,0,"John Wieczorek","2017-08-25"
"#2: Fresh; #3: Slight Trace Of Blood; #1: Trace Of",,,0,"John Wieczorek","2017-08-25"
"#20; about 25 feet high on rock",,,0,"John Wieczorek","2017-08-25"
"#21; eggshell fragment collected",,,0,"John Wieczorek","2017-08-25"
"#21; eggshell fragment collected ca. 25 feet high",,,0,"John Wieczorek","2017-08-25"
"#27; whole egg collected that ha",,,0,"John Wieczorek","2017-08-25"
"#27; whole egg collected that had rolled out of ne",,,0,"John Wieczorek","2017-08-25"
"#28; whole egg; broken after col",,,0,"John Wieczorek","2017-08-25"
"#28; whole egg; broken after collection",,,0,"John Wieczorek","2017-08-25"
"#3, 6 Fresh, #4 Slight trace of ",,,0,"John Wieczorek","2017-08-25"
"#3, 6 Fresh, #4 Slight trace of blood, #2 Trace of",,,0,"John Wieczorek","2017-08-25"
"#3:Fresh, #2:Very Slight Trace Of Blood, #1:Slight",,,0,"John Wieczorek","2017-08-25"
"#3; eggshell fragments of two eg",,,0,"John Wieczorek","2017-08-25"
"#3; eggshell fragments of two eggs",,,0,"John Wieczorek","2017-08-25"
"#4:Fresh, #1,#6:Very Slight Trace Of Blood; #2,#5:",,,0,"John Wieczorek","2017-08-25"
"#5, fragments only, eggshell thi",,,0,"John Wieczorek","2017-08-25"
"#5, fragments only, eggshell thickness measured",,,0,"John Wieczorek","2017-08-25"
"#5; eggshell fragments collected",,,0,"John Wieczorek","2017-08-25"
"#5; eggshell fragments collected from 3 different ",,,0,"John Wieczorek","2017-08-25"
"#57 fragments only, eggshell thi",,,0,"John Wieczorek","2017-08-25"
"#57 fragments only, eggshell thickness measured",,,0,"John Wieczorek","2017-08-25"
"#6 Fresh, #4, 5 Slight trace of ",,,0,"John Wieczorek","2017-08-25"
"#6 Fresh, #4, 5 Slight trace of blood, #1,2,3 Trac",,,0,"John Wieczorek","2017-08-25"
"#6 Slight trace of blood, #3 Tra",,,0,"John Wieczorek","2017-08-25"
"#6 Slight trace of blood, #3 Trace of blood, #1,2,",,,0,"John Wieczorek","2017-08-25"
"#6; eggshell fragments collected",,,0,"John Wieczorek","2017-08-25"
"#6; eggshell fragments collected from one site",,,0,"John Wieczorek","2017-08-25"
"#60, fragments only, eggshell th",,,0,"John Wieczorek","2017-08-25"
"#60, fragments only, eggshell thickness measured",,,0,"John Wieczorek","2017-08-25"
"#61 fragments only, eggshell thi",,,0,"John Wieczorek","2017-08-25"
"#61 fragments only, eggshell thickness measured",,,0,"John Wieczorek","2017-08-25"
"#65, fragments only, eggshell th",,,0,"John Wieczorek","2017-08-25"
"#65, fragments only, eggshell thickness measured",,,0,"John Wieczorek","2017-08-25"
"#66, fragments only, eggshell th",,,0,"John Wieczorek","2017-08-25"
"#66, fragments only, eggshell thickness measured",,,0,"John Wieczorek","2017-08-25"
"#67 fragments only, eggshell thi",,,0,"John Wieczorek","2017-08-25"
"#67 fragments only, eggshell thickness measured",,,0,"John Wieczorek","2017-08-25"
"#7, fragments only, eggshell thi",,,0,"John Wieczorek","2017-08-25"
"#7, fragments only, eggshell thickness measured",,,0,"John Wieczorek","2017-08-25"
"#7; fragments from three sites w",,,0,"John Wieczorek","2017-08-25"
"#7; fragments from three sites within ""Cave B""",,,0,"John Wieczorek","2017-08-25"
"#8 water checked",,,0,"John Wieczorek","2017-08-25"
"#8; eggshell fragments collected",,,0,"John Wieczorek","2017-08-25"
"#8; eggshell fragments collected from two sites wi",,,0,"John Wieczorek","2017-08-25"
"#84 fragments only, eggshell thi",,,0,"John Wieczorek","2017-08-25"
"#84 fragments only, eggshell thickness measured",,,0,"John Wieczorek","2017-08-25"
"#86 Hatched,#88 Hatched,#87 Died",,,0,"John Wieczorek","2017-08-25"
"#9 Addled, #10 Hatched",,,0,"John Wieczorek","2017-08-25"
"#9 fragments only, eggshell thic",,,0,"John Wieczorek","2017-08-25"
"#9 fragments only, eggshell thickness measured",,,0,"John Wieczorek","2017-08-25"
"#91, fragments only, eggshell th",,,0,"John Wieczorek","2017-08-25"
"#91, fragments only, eggshell thickness measured",,,0,"John Wieczorek","2017-08-25"
"#94, fragments only, 1 egg, eggs",,,0,"John Wieczorek","2017-08-25"
"#94, fragments only, 1 egg, eggshell thickness mea",,,0,"John Wieczorek","2017-08-25"
"#NAME?",,,1,"David Bloom","2018-06-13"
"#'s 1,2,4,5 and 6 small embryos,",,,0,"John Wieczorek","2017-08-25"
"#'s 1,2,4,5 and 6 small embryos, 3 fresh",,,0,"John Wieczorek","2017-08-25"
"#'s1,2,4 Showing blood, #3 fresh",,,0,"John Wieczorek","2017-08-25"
"(?)",,,0,"John Wieczorek","2017-08-25"
"(?)juv.",,,0,"John Wieczorek","2017-08-25"
"(1 broken) Fresh",,,0,"John Wieczorek","2017-08-25"
"(1 yr.)",,,0,"John Wieczorek","2017-08-25"
"(1) day old",,,0,"John Wieczorek","2017-08-25"
"(10) days",,,0,"John Wieczorek","2017-08-25"
"(10) days old",,,0,"John Wieczorek","2017-08-25"
"(11-12) days",,,0,"John Wieczorek","2017-08-25"
"(12) days old",,,0,"John Wieczorek","2017-08-25"
"(13) days old",,,0,"John Wieczorek","2017-08-25"
"(16) days old",,,0,"John Wieczorek","2017-08-25"
"(19) days old",,,0,"John Wieczorek","2017-08-25"
"(1st yr) Juv.",,,0,"John Wieczorek","2017-08-25"
"(2) 3 Days",,,0,"John Wieczorek","2017-08-25"
"(22) days old",,,0,"John Wieczorek","2017-08-25"
"(2-3 eggs full clutch)",,,0,"John Wieczorek","2017-08-25"
"(2-3 weeks incubation) Abandoned",,,0,"John Wieczorek","2017-08-25"
"(4-5 yrs old)",,,0,"John Wieczorek","2017-08-25"
"(48 hours old) yg.",,,0,"John Wieczorek","2017-08-25"
"(9) days old",,,0,"John Wieczorek","2017-08-25"
"(about) 1/3",,,0,"John Wieczorek","2017-08-25"
"(Ad ?)","adult",,1,"John Wieczorek","2017-08-25"
"(ad)","adult",,1,"John Wieczorek","2017-08-25"
"(Ad. ?)","adult",,1,"John Wieczorek","2017-08-25"
"(Ad.)","adult",,1,"John Wieczorek","2017-08-25"
"(Ad.?)","adult",,1,"John Wieczorek","2017-08-25"
"(ad?)","adult",,1,"John Wieczorek","2017-08-25"
"(breeding)","adult",,1,"John Wieczorek","2017-08-25"
"(check mark)",,,1,"John Wieczorek","2017-08-25"
"(checkmark)",,,0,"John Wieczorek","2017-08-25"
"(chick)","chick",,1,"John Wieczorek","2017-08-25"
"(dead) large embryos",,,0,"John Wieczorek","2018-10-10"
"(Downy chick)",,,0,"John Wieczorek","2017-08-25"
"(F)",,,0,"John Wieczorek","2017-08-25"
"(Fh)",,,0,"John Wieczorek","2017-08-25"
"(Fh-) see card",,,0,"John Wieczorek","2017-08-25"
"(finally) Vble trace to s. embry",,,0,"John Wieczorek","2017-08-25"
"(finally) Vble trace to s. embryo",,,0,"John Wieczorek","2017-08-25"
"(FL)",,,0,"John Wieczorek","2017-08-25"
"(fledgling)",,,0,"John Wieczorek","2017-08-25"
"(Fresh) Brought to WFVZ in 1993",,,0,"John Wieczorek","2017-08-25"
"(gummy) one week",,,0,"John Wieczorek","2017-08-25"
"(Im ?)","immature",,1,"John Wieczorek","2017-08-25"
"(im)","immature",,1,"John Wieczorek","2017-08-25"
"(Im. ?)","immature",,1,"John Wieczorek","2017-08-25"
"(im.)","immature",,1,"John Wieczorek","2017-08-25"
"(im?)","immature",,1,"John Wieczorek","2017-08-25"
"(imm)","immature",,1,"John Wieczorek","2017-08-25"
"(imm.)","immature",,1,"John Wieczorek","2017-08-25"
"(j?)","juvenile",,1,"John Wieczorek","2017-08-25"
"(Jh)","juvenile",,1,"John Wieczorek","2017-08-25"
"(juv)","juvenile",,1,"John Wieczorek","2017-08-25"
"(juv)?",,,0,"John Wieczorek","2017-08-25"
"(Juv. ?)","juvenile",,1,"John Wieczorek","2017-08-25"
"(Juv.)","juvenile",,1,"John Wieczorek","2017-08-25"
"(juv.)?",,,0,"John Wieczorek","2017-08-25"
"(juv.?)",,,0,"John Wieczorek","2017-08-25"
"(juv?)","juvenile",,1,"John Wieczorek","2017-08-25"
"(juvenal X 1st winter)","juvenile",,1,"John Wieczorek","2017-08-25"
"(laying)","adult",,1,"John Wieczorek","2017-08-25"
"(nestl.)","nestling",,1,"John Wieczorek","2017-08-25"
"(nestling)","nestling",,1,"John Wieczorek","2017-08-25"
"(newly hatched)",,,0,"John Wieczorek","2017-08-25"
"(over 2 days)",,,0,"John Wieczorek","2017-08-25"
"(S/1)",,,0,"John Wieczorek","2017-08-25"
"(see card)",,,1,"John Wieczorek","2017-08-25"
"(see original data card)",,,1,"John Wieczorek","2017-08-25"
"(sub?)adult",,,0,"John Wieczorek","2017-08-25"
"(subad)",,,0,"John Wieczorek","2017-08-25"
"(Subadult)",,,0,"John Wieczorek","2017-08-25"
"(Yg)",,,0,"John Wieczorek","2017-08-25"
"(Yg.)",,,0,"John Wieczorek","2017-08-25"
"(Young)",,,0,"John Wieczorek","2017-08-25"
"*","unknown",,1,"John Wieczorek","2017-08-25"
"*[1st nupt. ?]",,,0,"John Wieczorek","2017-08-25"
"*[Juv.]",,,0,"John Wieczorek","2017-08-25"
"*fledgling",,,0,"John Wieczorek","2017-08-25"
"*juvenile",,,0,"John Wieczorek","2017-08-25"
".","unknown",,1,"John Wieczorek","2017-08-25"
"..",,,1,"John Wieczorek","2017-08-25"
".0",,,0,"John Wieczorek","2017-08-25"
".1",,,0,"John Wieczorek","2017-08-25"
".1.",,,0,"John Wieczorek","2017-08-25"
".15",,,0,"John Wieczorek","2017-08-25"
".2",,,0,"John Wieczorek","2017-08-25"
".2 (fertility = nil)",,,0,"John Wieczorek","2017-08-25"
".25",,,0,"John Wieczorek","2017-08-25"
".3",,,0,"John Wieczorek","2017-08-25"
".4",,,0,"John Wieczorek","2017-08-25"
".5",,,0,"John Wieczorek","2017-08-25"
".6",,,0,"John Wieczorek","2017-08-25"
".7",,,0,"John Wieczorek","2017-08-25"
".8",,,0,"John Wieczorek","2017-08-25"
"/adykt",,,0,"John Wieczorek","2017-08-25"
":130; EXT:200 mm.; age by plumag",,,0,"John Wieczorek","2017-08-25"
":134; EXT:180mm.; age by plumage",,,0,"John Wieczorek","2017-08-25"
":4&1/8""; EXT:7&3/8""; WCH:2&5/16""",,,0,"John Wieczorek","2017-08-25"
":6&7/8in; EXT:11&7/8in; age by p",,,0,"John Wieczorek","2017-08-25"
"; OVIDUCT 3 MM WIDE, CONVOLUTED",,,0,"John Wieczorek","2017-08-25"
"?","unknown",,1,"John Wieczorek","2017-08-25"
"-?","unknown",,1,"John Wieczorek","2017-08-25"
"? - HY",,,1,"John Wieczorek","2017-08-25"
"? 1971HY",,,1,"John Wieczorek","2017-08-25"
"? 2nd yr.",,,1,"John Wieczorek","2017-08-25"
"? Adult","adult",,1,"John Wieczorek","2017-08-25"
"? age 2 days",,,1,"John Wieczorek","2017-08-25"
"? age 6 days",,,1,"John Wieczorek","2017-08-25"
"? chick","chick",,1,"John Wieczorek","2017-08-25"
"? chick 3 days old","chick",,1,"John Wieczorek","2017-08-25"
"? chick, 3 days old","chick",,1,"John Wieczorek","2017-08-25"
"? chick, almost fledged","chick",,1,"John Wieczorek","2017-08-25"
"? Imm.","immature",,1,"John Wieczorek","2017-08-25"
"? Juv.",,,0,"John Wieczorek","2017-08-25"
"? Juvenile",,,0,"John Wieczorek","2017-08-25"
"? Nest fell from a tree, probabl",,,0,"John Wieczorek","2017-08-25"
"? Nest fell from a tree, probably during storm",,,0,"John Wieczorek","2017-08-25"
"? Subad",,,0,"John Wieczorek","2017-08-25"
"? Young","young",,1,"John Wieczorek","2017-08-25"
"?/5 days old",,,1,"John Wieczorek","2017-08-25"
"?/imm.","immature",,1,"John Wieczorek","2017-08-25"
"?/juv.","juvenile",,1,"John Wieczorek","2017-08-25"
"??","unknown",,1,"John Wieczorek","2017-08-25"
"?Ad",,,0,"John Wieczorek","2017-08-25"
"?Adult",,,0,"John Wieczorek","2017-08-25"
"?im",,,0,"John Wieczorek","2017-08-25"
"?Juvenile",,,0,"John Wieczorek","2017-08-25"
"?testis=5mm?",,,0,"David Bloom","2017-12-29"
"?Young",,,0,"John Wieczorek","2017-08-25"
"@ 2 Yrs",,,1,"David Bloom","2019-09-03"
"@ 3 Yrs",,,1,"David Bloom","2019-09-03"
"@ 8 days",,,0,"John Wieczorek","2017-08-25"
"[ breeding dress]",,,0,"John Wieczorek","2017-08-25"
"[ or Immature]",,,0,"John Wieczorek","2017-08-25"
"[(im?)]",,,0,"John Wieczorek","2017-08-25"
"[? M Juv.]",,,0,"John Wieczorek","2017-08-25"
"[?]",,,0,"John Wieczorek","2017-08-25"
"[?Immature]",,,0,"John Wieczorek","2017-08-25"
"[[illeg]i[illeg] ad]",,,0,"John Wieczorek","2017-08-25"
"[=Ad.]",,,0,"John Wieczorek","2017-08-25"
"[=Im.?]",,,0,"John Wieczorek","2017-08-25"
"[=M]",,,0,"John Wieczorek","2017-08-25"
"[1st nupt.]",,,0,"John Wieczorek","2017-08-25"
"[1st nupt.]*",,,0,"John Wieczorek","2017-08-25"
"[1st nupt]",,,0,"John Wieczorek","2017-08-25"
"[2 yrs]",,,0,"John Wieczorek","2017-08-25"
"[5-10]",,,0,"John Wieczorek","2017-08-25"
"[a[illeg]]",,,0,"John Wieczorek","2017-08-25"
"[Ad ?]",,,0,"John Wieczorek","2017-08-25"
"[ad or subad]",,,0,"John Wieczorek","2017-08-25"
"[ad)",,,0,"John Wieczorek","2017-08-25"
"[Ad. ?]",,,0,"John Wieczorek","2017-08-25"
"[Ad. Im]",,,0,"John Wieczorek","2017-08-25"
"[Ad.?]",,,0,"John Wieczorek","2017-08-25"
"[ad.]",,,0,"John Wieczorek","2017-08-25"
"[Ad.] ""Juv.""",,,0,"John Wieczorek","2017-08-25"
"[Ad.] ?",,,0,"John Wieczorek","2017-08-25"
"[Ad.]*",,,0,"John Wieczorek","2017-08-25"
"[ad?]",,,0,"John Wieczorek","2017-08-25"
"[Ad]",,,0,"John Wieczorek","2017-08-25"
"[ad]?",,,0,"John Wieczorek","2017-08-25"
"[Adult ?] [Female ?]","adult",,1,"John Wieczorek","2017-08-25"
"[Adult ?] Female","adult",,1,"John Wieczorek","2017-08-25"
"[Adult ?] Male","adult",,1,"John Wieczorek","2017-08-25"
"[Adult Female ?]","adult",,1,"John Wieczorek","2017-08-25"
"[Adult*]",,,0,"John Wieczorek","2017-08-25"
