"verbatimReproductiveCondition","standardReproductiveCondition","uri","checked","opinionBy","opinionDate"
"HOW SEXED: GONADS. OVARY 5 X 3 MM, DUCT DISTENDED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3 MM, GRANULAR.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3 MM, LARGEST EGG 0.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3 MM, LARGEST EGG 1 MM DIAMETER.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3 MM, LARGEST EGG 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3 MM, LARGEST OVA < 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3 MM, LARGEST OVUM < 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3 MM, LARGEST OVUM 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3 MM, LARGEST OVUM 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3 MM, LOWER OVIDUCT SWOLLEN.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3 MM, MAY BE PARTIAL.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3 MM, NO LARGE EGGS.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3 MM, OVA < 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3 MM, OVA NOT OBVIOUS.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3 MM, OVA SMALL.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3 MM, SEVERAL OVA 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3 MM, SEXED MALE AT AVIARY.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3 MM, SMOOTH.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3 MM, TRANSPARENT.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3 MM, TRIANGULAR, GRANULAR.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3 MM, WHITISH.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3.5 MM, LARGEST OVA ABOUT 0.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 3.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, CREAM-COLORED, GRANULAR.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, DECOMPOSED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, DUCT CIRCA 1.2 MM DIAMETER.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, FATTY.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, GRANULAR.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, LARGEST EGG < 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, LARGEST EGG 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, LARGEST EGG 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, LARGEST EGGS 1 MM, OVIDUCT SWOLLEN.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, LARGEST EGGS CIRCA 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, LARGEST OVA 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, LARGEST OVA 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, LARGEST OVUM 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, LARGEST OVUM 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, NEARLY TRANSPARENT.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, OVA 1 MM, BROOD PATCH WELL DEVELOPED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, OVA DECOMPOSED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, OVA THROUGHOUT.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, OVA TO 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, OVIDUCT DIAMETER 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, OVIDUCT SWOLLEN.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM, TRANSPARENT.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 4 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 5 MM",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 5 MM, GRANULAR, SOME RED FF THROAT.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 5 MM, LARGEST EGGS 1 MM, OVIDUCT SWOLLEN.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 5 MM, LARGEST OVUM < 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 5 MM, LARGEST OVUM 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 5 MM, LARGEST OVUM 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 5 MM, LARGEST OVUM 2.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 6 MM, LARGEST OVULE 1 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 6 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 7 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 8 MM, OVA TO 1.8 MM, BROOD PATCH.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 9 MM, LARGEST OVUM 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5 X 9 MM, OVA 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5.5 X 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5.5 X 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5.5 X 2.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5.5 X 3 MM, DRAWN, GRANULAR.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5.5 X 3 MM, NO LARGE OVA.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5.5 X 3 MM, THIN, WHITISH, NO OVA.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5.5 X 3 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5.5 X 3 THIN WHITISH, NO OVA.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5.5 X 3.5 MM, LARGEST OVA 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5.5 X 3.5 MM, UNIFORM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5.5 X 3.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5.5 X 4 MM, OVA TO 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5.5 X 4.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 5.6 X 4.2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 MM, LARGEST OVUM < 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 16 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 18 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 2 MM, FILMY.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 2 MM, GRANULAR",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 2 MM, GRANULAR.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 2 MM, OVA < 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 2 MM, OVA LESS THAN 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 2 MM, OVULES DEVELOPING, NOT MEASUREABLE.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 2 MM, TRIANGULAR.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 2.5 MM, DUCT PROMINENT.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 2.5 MM, NO OVA ENLARGE.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 2.5 MM, THICK, WHITISH.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 2.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 25 MM, THICK, WHITISH",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 3 MM, GRANULAR.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 3 MM, LARGEST EGG 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 3 MM, LARGEST OVA 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 3 MM, LOWER OVIDUCT SWOLLEN.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 3 MM, MANY OVA TO 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 3 MM, MANY OVA, TO 1 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 3 MM, OPAQUE.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 3 MM, OVA < 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 3 MM, OVA TO 1 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 3 MM, PARTLY DECOMPOSED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 3 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 3.5 MM, DUCT SLIGHTLY SWOLLEN.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 3.5 MM, LARGEST OVUM 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 3.5 MM, OVA < 1 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 3.5 MM, OVA TO 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 3.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, BENT.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, DRAWN.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, EGGS < 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, FLAT, NO OVA VISIBLE.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, LARGEST EGG 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, LARGEST EGGS 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, LARGEST EGGS 1 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, LARGEST EGGS 1.5 MM",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, LARGEST EGGS 1.5 MM, OEN.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, LARGEST EGGS: 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, LARGEST OVA 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, LARGEST OVA 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, LARGEST OVULE LESS THAN 1 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, LARGEST OVUM < 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, LARGEST OVUM 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, LARGEST OVUM 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, LARGEST YOLK 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, MANY OVA VISIBLE.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, OPAQUE, GRANULAR.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, OVA 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, OVA TO 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM, THIN, TRANSPARENT.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4.5 MM, LARGEST EGG 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 4.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 5 MM, 2 RUPTURED FOLLICLES.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 5 MM, GRANULAR.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 5 MM, LARGEST EGG 0.8 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 5 MM, LARGEST EGG 1.5 MM, OVIDUCT SWOLLEN.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 5 MM, LARGEST EGGS 1 MM DIAMETER.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 5 MM, LARGEST EGGS 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 5 MM, LARGEST OVUM 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 6 MM, LARGEST OVULE 2 X 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 6 MM, OVA TO 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 6 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 8 MM, LARGEST EGG 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 8 MM, LARGEST OVUM 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6 X 8 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6.0 X 3.4 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6.0 X 4.0 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6.5 X 12 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6.5 X 2.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6.5 X 3 MM, BROOD PATCH.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6.5 X 3 MM, LARGEST OVA 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6.5 X 3 MM, OVIDUCT 1.5 MM DIAMETER.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6.5 X 3.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6.5 X 4 MM, LARGEST OVUM 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6.5 X 4 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6.5 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 6.5 X 5.5 MM, MANY OVA VISIBLE.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7- 8 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 10 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 11 MM, 1 RUPTURED FOLLICLE, LAID EGG IN NET.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 12 MM, OVA TO 2 MM, DUCT ENLARGED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 12 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 13 MM, NO OVA ENLARGED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 13 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 14 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 17 MM, LARGEST EGG 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 2 MM, LARGEST OVULE 1 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 2 MM, OVA INDISTINCT.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 2.5 MM, OVIDUCT 2 MM DIAMETER.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 2.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 3 MM, 1 OVUM 1 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 3 MM, DEVELOPING OVA.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 3 MM, DUCT SLIGHTLY SWOLLEN.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 3 MM, FIRST YEAR.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 3 MM, GRANDULAR.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 3 MM, GRANULAR.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 3 MM, LARGEST OVA 0.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 3 MM, LARGEST OVULE 1 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 3 MM, LARGEST OVULE CIRCA 1 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 3 MM, NO LARGE EGGS.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 3 MM, OVA <<1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 3 MM, OVA SMALL.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 3 MM, OVA TO 1 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 3 MM, OVA VERY SMALL.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 3 MM, OVIDUCT SLIGHTLY SWOLLEN.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 3 MM, SMOOTH, NO OVA VISIBLE.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 3 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 3.2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 3.5 MM, DUCT 1.5 MM DIAMETER.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 3.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, DUCT SLIGHTLY ENLARGED.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, DUCT YOLK 9 X 8 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, EGG 0.8 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, EGGS VISIBLE.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, GRANULAR EGGS < 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, LARGEST EGG 1 MM DIAMETER.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, LARGEST EGG 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, LARGEST EGG 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, LARGEST EGGS 2.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, LARGEST OVA 0.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, LARGEST OVA 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, LARGEST OVA 1 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, LARGEST OVULE 1 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, LARGEST OVULE 2 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, LARGEST OVUM 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, LARGEST OVUM 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, LARGEST OVUM 2 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, LARGEST OVUM 2.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, NO EGGS > 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, OVA < 1 X 1 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, OVA TO 1 MM DIAMETER.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, OVA TO 1.5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, TRIANGULAR, OVA INDISTINGUISHABLE.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM, YOUNG.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4.5 MM, OVUM 9 X 5 MM.",,,0,"John Wieczorek","2017-08-25"
"HOW SEXED: GONADS. OVARY 7 X 4.5 MM.",,,0,"John Wieczorek","2017-08-25"
