"verbatimSex","standardSex","uri","checked","opinionBy","opinionDate"
"Female by plumage","female",,1,"John Wieczorek","2017-08-25"
"Female eggs N=11","female",,1,"John Wieczorek","2017-08-25"
"Female eggs N=15","female",,1,"John Wieczorek","2017-08-25"
"female female","female",,1,"John Wieczorek","2017-08-25"
"female fledgling","female",,1,"John Wieczorek","2017-08-25"
"Female full od well developed eg","female",,1,"John Wieczorek","2017-08-25"
"Female gravid","female",,1,"John Wieczorek","2017-08-25"
"Female neonate","female",,1,"John Wieczorek","2017-08-25"
"Female No Emb-vascular","female",,1,"John Wieczorek","2017-08-25"
"Female of pair","female",,1,"John Wieczorek","2017-08-25"
"female or male?","in question",,1,"John Wieczorek","2017-08-25"
"Female plumage. Sex ?","in question",,1,"John Wieczorek","2017-08-25"
"Female subadult","female",,1,"John Wieczorek","2017-08-25"
"FEMALE W/","female",,1,"John Wieczorek","2017-08-25"
"Female w/ 11 embryos","female",,1,"John Wieczorek","2017-08-25"
"Female w/ 3 eggs","female",,1,"John Wieczorek","2017-08-25"
"Female w/ 4 eggs 7X12mm","female",,1,"John Wieczorek","2017-08-25"
"Female w/ 8 eggs","female",,1,"John Wieczorek","2017-08-25"
"Female with 3 eggs","female",,1,"John Wieczorek","2017-08-25"
"Female with 6 eggs","female",,1,"John Wieczorek","2017-08-25"
"Female with eggs","female",,1,"John Wieczorek","2017-08-25"
"Female with embryos","female",,1,"John Wieczorek","2017-08-25"
"Female with four eggs, liver tis","female",,1,"John Wieczorek","2017-08-25"
"Female with six eggs","female",,1,"John Wieczorek","2017-08-25"
"femalemale","female | male",,1,"John Wieczorek","2017-08-25"
"femaleundet.","female | unknown",,1,"John Wieczorek","2017-08-25"
"Female(?)","in question",,1,"John Wieczorek","2017-08-25"
"female(imm)","female",,1,"John Wieczorek","2017-08-25"
"female(s)-certain","in question",,1,"John Wieczorek","2017-08-25"
"female(s)-uncertain","in question",,1,"John Wieczorek","2017-08-25"
"female, 11 eggs removed","female",,1,"John Wieczorek","2017-08-25"
"Female, 2 ova 13mm","female",,1,"John Wieczorek","2017-08-25"
"Female, 2 ova 6mm no shell","female",,1,"John Wieczorek","2017-08-25"
"Female, 3 eggs","female",,1,"John Wieczorek","2017-08-25"
"Female, 4 eggs","female",,1,"John Wieczorek","2017-08-25"
"Female, 4 large ova 4X5 mm","female",,1,"John Wieczorek","2017-08-25"
"Female, 51 mm SVL","female",,1,"John Wieczorek","2017-08-25"
"Female, 6 eggs","female",,1,"John Wieczorek","2017-08-25"
"female, adult","female",,1,"John Wieczorek","2017-08-25"
"Female, birth to 12 8/14-18/1989","female",,1,"John Wieczorek","2017-08-25"
"Female, but has male plumage","female",,1,"John Wieczorek","2017-08-25"
"Female, ca 70 cm total length","female",,1,"John Wieczorek","2017-08-25"
"Female, coll gravid","female",,1,"John Wieczorek","2017-08-25"
"Female, eggs laid 8-9 May 1979","female",,1,"John Wieczorek","2017-08-25"
"Female, eggs N=8","female",,1,"John Wieczorek","2017-08-25"
"Female, flaccid","female",,1,"John Wieczorek","2017-08-25"
"Female, gave birth 08/19-19/1989","female",,1,"John Wieczorek","2017-08-25"
"Female, gave birth 09/11-15/1989","female",,1,"John Wieczorek","2017-08-25"
"female, granular","female",,1,"John Wieczorek","2017-08-25"
"Female, gravid","female",,1,"John Wieczorek","2017-08-25"
"Female, gravid w/ 42 eggs","female",,1,"John Wieczorek","2017-08-25"
"female, imm","female",,1,"John Wieczorek","2017-08-25"
"female, immature","female",,1,"John Wieczorek","2017-08-25"
"female, immature?","female",,1,"John Wieczorek","2017-08-25"
"Female, laid 27 eggs Aug 24, 198","female",,1,"John Wieczorek","2017-08-25"
"female, male","female | male",,1,"John Wieczorek","2017-08-25"
"Female, nest","female",,1,"John Wieczorek","2017-08-25"
"Female, ova 5mm","female",,1,"John Wieczorek","2017-08-25"
"Female, ova enlarged","female",,1,"John Wieczorek","2017-08-25"
"Female, ova small","female",,1,"John Wieczorek","2017-08-25"
"female, post-lactating","female",,1,"John Wieczorek","2017-08-25"
"Female, scale tissue taken","female",,1,"John Wieczorek","2017-08-25"
"Female, shed skin taken as tissu","female",,1,"John Wieczorek","2017-08-25"
"Female, SVL 198 mm, Tail 24 mm","female",,1,"John Wieczorek","2017-08-25"
"Female, SVL 33 mm, tail 31 mm","female",,1,"John Wieczorek","2017-08-25"
"Female, with 10 large eggs","female",,1,"John Wieczorek","2017-08-25"
"female.male","female | male",,1,"John Wieczorek","2017-08-25"
"female.undet.","female | unknown",,1,"John Wieczorek","2017-08-25"
"female/male","female | male",,1,"John Wieczorek","2017-08-25"
"female/male (on label)","female | male",,1,"John Wieczorek","2017-08-25"
"female; based on plumage","female",,1,"John Wieczorek","2017-08-25"
"female?","in question",,1,"John Wieczorek","2017-08-25"
"Female[illeg]","female",,1,"John Wieczorek","2017-08-25"
"female-adult","female",,1,"John Wieczorek","2017-08-25"
"Femalegave birth to 5 live, 2 st","female",,1,"John Wieczorek","2017-08-25"
"female-granular","female",,1,"John Wieczorek","2017-08-25"
"Female-Gravid","female",,1,"John Wieczorek","2017-08-25"
"female-HY","female",,1,"John Wieczorek","2017-08-25"
"female-imm.","female",,1,"John Wieczorek","2017-08-25"
"female-juv","female",,1,"John Wieczorek","2017-08-25"
"females","female",,1,"John Wieczorek","2017-08-25"
"FEMAMLE","female",,1,"John Wieczorek","2017-08-25"
"femella","female",,1,"John Wieczorek","2017-08-25"
"femella | mascle","female | male",,1,"John Wieczorek","2017-08-25"
"femenino","female",,1,"John Wieczorek","2017-08-25"
"FF","female",,1,"John Wieczorek","2017-08-25"
"FG","unknown",,1,"John Wieczorek","2017-08-25"
"First Year Male","male",,1,"John Wieczorek","2017-08-25"
"first year subadult",,,1,"John Wieczorek","2017-08-25"
"flat skin",,,1,"John Wieczorek","2017-08-25"
"Fledgling [Female ?]","in question",,1,"John Wieczorek","2017-08-25"
"Fledgling [Sex ?]","in question",,1,"John Wieczorek","2017-08-25"
"Fledgling Female","female",,1,"John Wieczorek","2017-08-25"
"Fledgling Male","male",,1,"John Wieczorek","2017-08-25"
"fledgling/unknown","unknown",,1,"John Wieczorek","2017-08-25"
"fm",,,1,"John Wieczorek","2017-08-25"
"Fn.","female",,1,"John Wieczorek","2017-08-25"
"F-not stated on tag","female",,1,"John Wieczorek","2017-08-25"
"found dead at campsite",,,1,"John Wieczorek","2017-08-25"
"found DOR",,,1,"John Wieczorek","2017-08-25"
"FR","female",,1,"John Wieczorek","2017-08-25"
"froglet",,,1,"John Wieczorek","2017-08-25"
"F's","female",,1,"John Wieczorek","2017-08-25"
"G","unknown",,1,"John Wieczorek","2017-08-25"
"G ?","unknown",,1,"John Wieczorek","2017-08-25"
"GF","unknown",,1,"John Wieczorek","2017-08-25"
"gF(3)","female",,1,"John Wieczorek","2017-08-25"
"gF(4)","female",,1,"John Wieczorek","2017-08-25"
"gF(5)","female",,1,"John Wieczorek","2017-08-25"
"gF(6)","female",,1,"John Wieczorek","2017-08-25"
"gF(7)","female",,1,"John Wieczorek","2017-08-25"
"gF(8)","female",,1,"John Wieczorek","2017-08-25"
"gF(9)","female",,1,"John Wieczorek","2017-08-25"
"gonads destroyed",,,1,"John Wieczorek","2017-08-25"
"gonads destroyed by shot",,,1,"John Wieczorek","2017-08-25"
"gonads not developed",,,1,"John Wieczorek","2017-08-25"
"gonads not found","unknown",,1,"John Wieczorek","2017-08-25"
"Gonads not found.",,,1,"John Wieczorek","2017-08-25"
"gonads rotted",,,1,"John Wieczorek","2017-08-25"
"Gravid",,,1,"John Wieczorek","2017-08-25"
"Gravid Female","female",,1,"John Wieczorek","2017-08-25"
"Green",,,1,"John Wieczorek","2017-08-25"
"green background color with two ",,,1,"John Wieczorek","2017-08-25"
"GYNANDROMORPH","gynandromorph",,1,"John Wieczorek","2017-08-25"
"H","female",,1,"John Wieczorek","2017-08-25"
"H g","unknown",,1,"John Wieczorek","2017-08-25"
"H P","unknown",,1,"John Wieczorek","2017-08-25"
"H R","unknown",,1,"John Wieczorek","2017-08-25"
"hane","female",,1,"John Wieczorek","2017-08-25"
"hane?","female",,1,"John Wieczorek","2017-08-25"
"hatching",,,1,"John Wieczorek","2017-08-25"
"Hatchling",,,1,"John Wieczorek","2017-08-25"
"Hatchling, Liver tissue taken",,,1,"John Wieczorek","2017-08-25"
"hemba","female",,1,"John Wieczorek","2017-08-25"
"hembra","female",,1,"John Wieczorek","2017-08-25"
"hembra 2 pares ma","female",,1,"John Wieczorek","2017-08-25"
"hembra A","female",,1,"John Wieczorek","2017-08-25"
"hembra ad","female",,1,"John Wieczorek","2017-08-25"
"hembra ad in","female",,1,"John Wieczorek","2017-08-25"
"hembra ad ma","female",,1,"John Wieczorek","2017-08-25"
"hembra ad NI","female",,1,"John Wieczorek","2017-08-25"
"hembra AI","female",,1,"John Wieczorek","2017-08-25"
"hembra am","female",,1,"John Wieczorek","2017-08-25"
"hembra gestal","female",,1,"John Wieczorek","2017-08-25"
"hembra inm","female",,1,"John Wieczorek","2017-08-25"
"hembra J","female",,1,"John Wieczorek","2017-08-25"
"hembra juv","female",,1,"John Wieczorek","2017-08-25"
"hembra lac","female",,1,"John Wieczorek","2017-08-25"
"hembra lactando","female",,1,"John Wieczorek","2017-08-25"
"hembra ma","female",,1,"John Wieczorek","2017-08-25"
"hembra mamas","female",,1,"John Wieczorek","2017-08-25"
"hembra no lac","female",,1,"John Wieczorek","2017-08-25"
"hembra preg 2-2 emb 15mm","female",,1,"John Wieczorek","2017-08-25"
"hembra SA","female",,1,"John Wieczorek","2017-08-25"
"Hembra, Indeterminado","female, unknown",,1,"John Wieczorek","2017-11-07"
"hembra?","female",,1,"John Wieczorek","2017-08-25"
"HERMAPHRODI","hermaphrodite",,1,"John Wieczorek","2017-08-25"
"hermaphrodidic","hermaphrodite",,1,"John Wieczorek","2017-08-25"
"hermaphrodite","hermaphrodite",,1,"John Wieczorek","2017-08-25"
"hg","unknown",,1,"John Wieczorek","2017-08-25"
"hona","female",,1,"John Wieczorek","2017-08-25"
"HY",,,1,"John Wieczorek","2017-08-25"
"HY male","male",,1,"John Wieczorek","2017-08-25"
"Hybrid",,,1,"John Wieczorek","2017-08-25"
"I",,,1,"John Wieczorek","2017-08-25"
"IM","unknown",,1,"John Wieczorek","2017-08-25"
"Im.","unknown",,1,"John Wieczorek","2017-08-25"
"IMF","unknown",,1,"John Wieczorek","2017-08-25"
"IMM","unknown",,1,"John Wieczorek","2017-08-25"
"IMM ?","unknown",,1,"John Wieczorek","2017-08-25"
"imm F","female",,1,"John Wieczorek","2017-08-25"
"imm male","male",,1,"John Wieczorek","2017-08-25"
"imm.",,,1,"John Wieczorek","2017-08-25"
"Imm. (cat. lists M adult)","male",,1,"John Wieczorek","2017-08-25"
"imm. F","female",,1,"John Wieczorek","2017-08-25"
"IMM. FEMALE?","in question",,1,"John Wieczorek","2017-08-25"
"imm. M","male",,1,"John Wieczorek","2017-08-25"
"imm.?","unknown",,1,"John Wieczorek","2017-08-25"
"IMM?","unknown",,1,"John Wieczorek","2017-08-25"
"immature",,,1,"John Wieczorek","2017-08-25"
"Immature (HY) Female","female",,1,"John Wieczorek","2017-08-25"
"Immature (HY) Male","male",,1,"John Wieczorek","2017-08-25"
"immature ?",,,1,"John Wieczorek","2017-08-25"
"Immature [= Fledgling] Male","male",,1,"John Wieczorek","2017-08-25"
"Immature [Female ?]","in question",,1,"John Wieczorek","2017-08-25"
"Immature [Male ?]","in question",,1,"John Wieczorek","2017-08-25"
"Immature [Sex ?]","in question",,1,"John Wieczorek","2017-08-25"
"Immature Female","female",,1,"John Wieczorek","2017-08-25"
"Immature Female ?","in question",,1,"John Wieczorek","2017-08-25"
"immature M","male",,1,"John Wieczorek","2017-08-25"
"Immature Male","male",,1,"John Wieczorek","2017-08-25"
"immature Male, juvenile (calf)","male",,1,"John Wieczorek","2017-08-25"
"immature, nestling",,,1,"John Wieczorek","2017-08-25"
"immature/female","female",,1,"John Wieczorek","2017-08-25"
"ind","unknown",,1,"John Wieczorek","2017-08-25"
"indet.","unknown",,1,"John Wieczorek","2017-08-25"
"indeterminable","indeterminable",,1,"John Wieczorek","2017-08-25"
"indeterminado","unknown",,1,"John Wieczorek","2017-08-25"
"Indeterminate","unknown",,1,"John Wieczorek","2017-08-25"
"J","unknown",,1,"John Wieczorek","2017-08-25"
"J?","unknown",,1,"John Wieczorek","2017-08-25"
"JU?. MALE?","in question",,1,"John Wieczorek","2017-08-25"
"juevenile",,,1,"John Wieczorek","2017-08-25"
"Jul-76","unknown",,1,"John Wieczorek","2017-08-25"
"juv","unknown",,1,"John Wieczorek","2017-08-25"
"JUV ?","unknown",,1,"John Wieczorek","2017-08-25"
"juv.","unknown",,1,"John Wieczorek","2017-08-25"
"Juv. (cat. lists as F pul)","female",,1,"John Wieczorek","2017-08-25"
"juv. male","male",,1,"John Wieczorek","2017-08-25"
"Juv. Nestling",,,1,"John Wieczorek","2017-08-25"
"JUV.?","unknown",,1,"John Wieczorek","2017-08-25"
"juv.nestln",,,1,"John Wieczorek","2017-08-25"
"JUV?","unknown",,1,"John Wieczorek","2017-08-25"
"Juvenil","unknown",,1,"John Wieczorek","2017-08-25"
"juvenile","unknown",,1,"John Wieczorek","2017-08-25"
"Juvenile [Female ?]","in question",,1,"John Wieczorek","2017-08-25"
"Juvenile [Female?]","in question",,1,"John Wieczorek","2017-08-25"
"Juvenile [Male ?]","in question",,1,"John Wieczorek","2017-08-25"
"Juvenile [Sex ?]","in question",,1,"John Wieczorek","2017-08-25"
"Juvenile 1 segment + button",,,1,"John Wieczorek","2017-08-25"
"Juvenile Female","female",,1,"John Wieczorek","2017-08-25"
"Juvenile male","male",,1,"John Wieczorek","2017-08-25"
"Juvenile Male (?)","in question",,1,"John Wieczorek","2017-08-25"
"Juvenile Male, liver tissue take","male",,1,"John Wieczorek","2017-08-25"
"Juvenile Male, SVL 45 mm, tail 6","male",,1,"John Wieczorek","2017-08-25"
"Juvenile with tail clip tissue",,,1,"John Wieczorek","2017-08-25"
"Juvenile with tissue",,,1,"John Wieczorek","2017-08-25"
"Juvenile, 66 cm SVL,  89g",,,1,"John Wieczorek","2017-08-25"
"Juvenile, Liver tissue taken",,,1,"John Wieczorek","2017-08-25"
"Juvenile, SVL 395 mm, tail 58 mm",,,1,"John Wieczorek","2017-08-25"
"Juvenile, SVL 415 mm",,,1,"John Wieczorek","2017-08-25"
"Juvenile, SVL 662 mm, Tail 239 m",,,1,"John Wieczorek","2017-08-25"
"Juvenile, Tissue- scale clip",,,1,"John Wieczorek","2017-08-25"
"Juvenile, Tissue-liver sample",,,1,"John Wieczorek","2017-08-25"
"Juvenile, Tissue-scale clip",,,1,"John Wieczorek","2017-08-25"
"Juvenile/neonate",,,1,"John Wieczorek","2017-08-25"
"juveniles and eggs","unknown",,1,"John Wieczorek","2017-08-25"
"JV",,,1,"John Wieczorek","2017-08-25"
"K?","in question",,1,"John Wieczorek","2017-08-25"
"km",,,1,"John Wieczorek","2017-08-25"
"L","unknown",,1,"John Wieczorek","2017-08-25"
"Large female w/ eggs","female",,1,"John Wieczorek","2017-08-25"
"Larva",,,1,"John Wieczorek","2017-08-25"
"Larva when captured",,,1,"John Wieczorek","2017-08-25"
"Larva when collected",,,1,"John Wieczorek","2017-08-25"
"larva, lot of 1",,,1,"John Wieczorek","2017-08-25"
"larva, lot of 7",,,1,"John Wieczorek","2017-08-25"
"larva, lot of one",,,1,"John Wieczorek","2017-08-25"
"larvae",,,1,"John Wieczorek","2017-08-25"
"Larvae lot of 1",,,1,"John Wieczorek","2017-08-25"
"Larvae lot of 2",,,1,"John Wieczorek","2017-08-25"
"Larvae, lot of 16",,,1,"John Wieczorek","2017-08-25"
"larvae, lot of 2",,,1,"John Wieczorek","2017-08-25"
"larvae, lot of 3",,,1,"John Wieczorek","2017-08-25"
"larvae, lot of 5",,,1,"John Wieczorek","2017-08-25"
"larvae, lot of 6",,,1,"John Wieczorek","2017-08-25"
"Larvae, lot of 7",,,1,"John Wieczorek","2017-08-25"
"larvae. lot of 7",,,1,"John Wieczorek","2017-08-25"
"light olive-gray",,,1,"John Wieczorek","2017-08-25"
"Liver tissue",,,1,"John Wieczorek","2017-08-25"
"Liver tissue taken",,,1,"John Wieczorek","2017-08-25"
"Liver tissue Taken, Adult",,,1,"John Wieczorek","2017-08-25"
"long term captive",,,1,"John Wieczorek","2017-08-25"
"LOST",,,1,"John Wieczorek","2017-08-25"
"Lot of 10 larvae",,,1,"John Wieczorek","2017-08-25"
"Lot of 11 larvae",,,1,"John Wieczorek","2017-08-25"
"lot of 16 larvae",,,1,"John Wieczorek","2017-08-25"
"Lot of 21 larvae",,,1,"John Wieczorek","2017-08-25"
"lot of 28 larvae",,,1,"John Wieczorek","2017-08-25"
"Lot of 3 Larvae",,,1,"John Wieczorek","2017-08-25"
"Lot of 5 larvae",,,1,"John Wieczorek","2017-08-25"
"lot of 6 larvae",,,1,"John Wieczorek","2017-08-25"
"Lot of 9 larvae",,,1,"John Wieczorek","2017-08-25"
"lot of Larvae and hatchlings",,,1,"John Wieczorek","2017-08-25"
"lot of six larvae",,,1,"John Wieczorek","2017-08-25"
"lot of three larvae",,,1,"John Wieczorek","2017-08-25"
"M","male",,1,"John Wieczorek","2017-08-25"
"'m","male",,1,"John Wieczorek","2017-08-25"
"-M","male",,1,"John Wieczorek","2017-08-25"
"M'","male",,1,"John Wieczorek","2017-08-25"
"M-","male",,1,"John Wieczorek","2017-08-25"
"'M '","male",,1,"John Wieczorek","2017-08-25"
"M -","male",,1,"John Wieczorek","2017-08-25"
"M  juvenile","male",,1,"John Wieczorek","2017-08-25"
"M - the symbol is upside down","male",,1,"John Wieczorek","2017-08-25"
"M !","male",,1,"John Wieczorek","2017-08-25"
"M ! F","unknown",,1,"John Wieczorek","2017-08-25"
"M ""hor""","male",,1,"John Wieczorek","2017-08-25"
"M & F","female | male",,1,"John Wieczorek","2017-08-25"
"M (?)","in question",,1,"John Wieczorek","2017-08-25"
"M (?) (M)","in question",,1,"John Wieczorek","2017-08-25"
"M (=F ?)","in question",,1,"John Wieczorek","2017-08-25"
"M (=F)","unknown",,1,"John Wieczorek","2017-08-25"
"m (10x5)","male",,1,"John Wieczorek","2017-08-25"
"M (10x6.78)","male",,1,"John Wieczorek","2017-08-25"
"m (12x4)","male",,1,"John Wieczorek","2017-08-25"
"M (18x9.6)","male",,1,"John Wieczorek","2017-08-25"
"m (2x1)","male",,1,"John Wieczorek","2017-08-25"
"m (3x5)","male",,1,"John Wieczorek","2017-08-25"
"M (4.3x3.5)","male",,1,"John Wieczorek","2017-08-25"
"m (5*2)","male",,1,"John Wieczorek","2017-08-25"
"m (5*3 Ling)","male",,1,"John Wieczorek","2017-08-25"
"m (6x2)","male",,1,"John Wieczorek","2017-08-25"
"m (8*3)","male",,1,"John Wieczorek","2017-08-25"
"m (9*5)","male",,1,"John Wieczorek","2017-08-25"
"M (9x7)","male",,1,"John Wieczorek","2017-08-25"
"M (BASED ON PLUMAGE)","male",,1,"John Wieczorek","2017-08-25"
"M (by dissection)","male",,1,"John Wieczorek","2017-08-25"
"m (by plumage)","male",,1,"John Wieczorek","2017-08-25"
"M (castrate)","male",,1,"John Wieczorek","2017-08-25"
"M (cat lists as F, looks like M ","male",,1,"John Wieczorek","2017-08-25"
"M (dark)","male",,1,"John Wieczorek","2017-08-25"
"M (F ?)","in question",,1,"John Wieczorek","2017-08-25"
"M (F!)","unknown",,1,"John Wieczorek","2017-08-25"
"M (F(","unknown",,1,"John Wieczorek","2017-08-25"
"M (F)","unknown",,1,"John Wieczorek","2017-08-25"
"M (gran)","male",,1,"John Wieczorek","2017-08-25"
"M (HY)","male",,1,"John Wieczorek","2017-08-25"
"M (IMM 3.9x1.2)","male",,1,"John Wieczorek","2017-08-25"
"M (imm.?)","male",,1,"John Wieczorek","2017-08-25"
"M (info from tissue tube)","male",,1,"John Wieczorek","2017-08-25"
"M (juv.)","male",,1,"John Wieczorek","2017-08-25"
"m (lap)","male",,1,"John Wieczorek","2017-08-25"
"M (light)","male",,1,"John Wieczorek","2017-08-25"
"m (LT:1x1)","male",,1,"John Wieczorek","2017-08-25"
"M (TSE)","male",,1,"John Wieczorek","2017-08-25"
"M ?","in question",,1,"John Wieczorek","2017-08-25"
"M ? (F)","in question",,1,"John Wieczorek","2017-08-25"
"M ? [=F]","in question",,1,"John Wieczorek","2017-08-25"
"M ? [=M]","in question",,1,"John Wieczorek","2017-08-25"
"'M' ? [=M]","in question",,1,"John Wieczorek","2017-08-25"
"M ? [=surely a F]","in question",,1,"John Wieczorek","2017-08-25"
"M ? [F]","in question",,1,"John Wieczorek","2017-08-25"
"M ? = [F]","in question",,1,"John Wieczorek","2017-08-25"
"M ? =[F]","in question",,1,"John Wieczorek","2017-08-25"
"M ? F","in question",,1,"John Wieczorek","2017-08-25"
"M ? F ?","in question",,1,"John Wieczorek","2017-08-25"
"M -? orig. SUI tag bears dual ma","male",,1,"John Wieczorek","2017-08-25"
"M ??","in question",,1,"John Wieczorek","2017-08-25"
"M ?[=F]","in question",,1,"John Wieczorek","2017-08-25"
"M ?[F]","in question",,1,"John Wieczorek","2017-08-25"
"M [?]","in question",,1,"John Wieczorek","2017-08-25"
"M [?]*","in question",,1,"John Wieczorek","2017-08-25"
"M [= F]","unknown",,1,"John Wieczorek","2017-08-25"
"M [=F ?]","in question",,1,"John Wieczorek","2017-08-25"
"M [=F apparently]","unknown",,1,"John Wieczorek","2017-08-25"
"M [=F?]","in question",,1,"John Wieczorek","2017-08-25"
"M [=F]","unknown",,1,"John Wieczorek","2017-08-25"
"M [almost surely F]","female",,1,"John Wieczorek","2017-08-25"
"M [apparantly F]","unknown",,1,"John Wieczorek","2017-08-25"
"M [by plumage","male",,1,"John Wieczorek","2017-08-25"
"M [by plumage]","male",,1,"John Wieczorek","2017-08-25"
"M [cataloged as F]","male",,1,"John Wieczorek","2017-08-25"
"M [F ?]","in question",,1,"John Wieczorek","2017-08-25"
"M [F!]","unknown",,1,"John Wieczorek","2017-08-25"
"M [F?]","in question",,1,"John Wieczorek","2017-08-25"
"'M' [F?]","in question",,1,"John Wieczorek","2017-08-25"
"M [F]","unknown",,1,"John Wieczorek","2017-08-25"
"M [F]!","unknown",,1,"John Wieczorek","2017-08-25"
"M [illeg. ?]","in question",,1,"John Wieczorek","2017-08-25"
"M [illeg]","male",,1,"John Wieczorek","2017-08-25"
"M [listed in Catalog as F]","male",,1,"John Wieczorek","2017-08-25"
"M [M]","male",,1,"John Wieczorek","2017-08-25"
"M [on coll label]","male",,1,"John Wieczorek","2017-08-25"
"M [or F]","unknown",,1,"John Wieczorek","2017-08-25"
"M [orig. cataloged as F]","male",,1,"John Wieczorek","2017-08-25"
"M [perhaps a F]","in question",,1,"John Wieczorek","2017-08-25"
"M [perhaps F?]","in question",,1,"John Wieczorek","2017-08-25"
"M [prob. a F]","female",,1,"John Wieczorek","2017-08-25"
"M [prob. F]","female",,1,"John Wieczorek","2017-08-25"
"M [tag: ""sed M""?]","male",,1,"John Wieczorek","2017-08-25"
"M +","male",,1,"John Wieczorek","2017-08-25"
"M + U","male | unknown",,1,"John Wieczorek","2017-08-25"
"M ++","male",,1,"John Wieczorek","2017-08-25"
"M = [F]","unknown",,1,"John Wieczorek","2017-08-25"
"M = F","unknown",,1,"John Wieczorek","2017-08-25"
"M 1971 HY","male",,1,"John Wieczorek","2017-08-25"
"M 1977 HY","male",,1,"John Wieczorek","2017-08-25"
"M 1978 HY","male",,1,"John Wieczorek","2017-08-25"
"M 1978HY","male",,1,"John Wieczorek","2017-08-25"
"M 1979 HY","male",,1,"John Wieczorek","2017-08-25"
"M 1979HY","male",,1,"John Wieczorek","2017-08-25"
"M 1980HY","male",,1,"John Wieczorek","2017-08-25"
"M 1981 HY","male",,1,"John Wieczorek","2017-08-25"
"M 1981HY","male",,1,"John Wieczorek","2017-08-25"
"M 1984HY","male",,1,"John Wieczorek","2017-08-25"
"M 1st Spring","male",,1,"John Wieczorek","2017-08-25"
"M 1st Winter","male",,1,"John Wieczorek","2017-08-25"
"M 1st year","male",,1,"John Wieczorek","2017-08-25"
"M 1st yr.","male",,1,"John Wieczorek","2017-08-25"
"M 2-3 days old","male",,1,"John Wieczorek","2017-08-25"
"M 3.5 yrs.","male",,1,"John Wieczorek","2017-08-25"
"M 3rd Winter","male",,1,"John Wieczorek","2017-08-25"
"m 3x1","male",,1,"John Wieczorek","2017-08-25"
"M 4yrs.","male",,1,"John Wieczorek","2017-08-25"
"m abdominal","male",,1,"John Wieczorek","2017-08-25"
"M AD","male",,1,"John Wieczorek","2017-08-25"
"M Ad.","male",,1,"John Wieczorek","2017-08-25"
"M adolescent","male",,1,"John Wieczorek","2017-08-25"
"M adult","male",,1,"John Wieczorek","2017-08-25"
"M Adult.","male",,1,"John Wieczorek","2017-08-25"
"M Age 10 yrs.","male",,1,"John Wieczorek","2017-08-25"
"M Age 12 yrs.","male",,1,"John Wieczorek","2017-08-25"
"M age 18 days","male",,1,"John Wieczorek","2017-08-25"
"M age 3 days","male",,1,"John Wieczorek","2017-08-25"
"M Age 4 yrs","male",,1,"John Wieczorek","2017-08-25"
"M age 4 yrs.","male",,1,"John Wieczorek","2017-08-25"
"M Age 7 yrs","male",,1,"John Wieczorek","2017-08-25"
"M Asult","male",,1,"John Wieczorek","2017-08-25"
"M based on bill length","male",,1,"John Wieczorek","2017-08-25"
"M br","male",,1,"John Wieczorek","2017-08-25"
"M br.","male",,1,"John Wieczorek","2017-08-25"
"M by call [?]","male",,1,"John Wieczorek","2017-08-25"
"M by dissection","male",,1,"John Wieczorek","2017-08-25"
"M by plumage *","male",,1,"John Wieczorek","2017-08-25"
"M by plummage","male",,1,"John Wieczorek","2017-08-25"
"M chick","male",,1,"John Wieczorek","2017-08-25"
"M 'CHICK'","male",,1,"John Wieczorek","2017-08-25"
"M ext.","male",,1,"John Wieczorek","2017-08-25"
"M F","unknown",,1,"John Wieczorek","2017-08-25"
"M fledgling","male",,1,"John Wieczorek","2017-08-25"
"m g","male",,1,"John Wieczorek","2017-08-25"
"M HY","male",,1,"John Wieczorek","2017-08-25"
"M HY'76","male",,1,"John Wieczorek","2017-08-25"
"M im.","male",,1,"John Wieczorek","2017-08-25"
"M imm","male",,1,"John Wieczorek","2017-08-25"
"M imm.","male",,1,"John Wieczorek","2017-08-25"
"M imm.?","male",,1,"John Wieczorek","2017-08-25"
"M immature","male",,1,"John Wieczorek","2017-08-25"
"M JUV","male",,1,"John Wieczorek","2017-08-25"
"M juv.","male",,1,"John Wieczorek","2017-08-25"
"M juv. (fledgling)","male",,1,"John Wieczorek","2017-08-25"
"M juv. [adolescent]","male",,1,"John Wieczorek","2017-08-25"
"M juv.?","male",,1,"John Wieczorek","2017-08-25"
"M juv.nestl","male",,1,"John Wieczorek","2017-08-25"
"M juvenile","male",,1,"John Wieczorek","2017-08-25"
"m L.T (8.3*5.6)","male",,1,"John Wieczorek","2017-08-25"
"m LT (2x1.5)","male",,1,"John Wieczorek","2017-08-25"
"M M","male",,1,"John Wieczorek","2017-08-25"
"M mate of # 357","male",,1,"John Wieczorek","2017-08-25"
"M NESTLING","male",,1,"John Wieczorek","2017-08-25"
"M o.n.e.","male",,1,"John Wieczorek","2017-08-25"
"M or F","unknown",,1,"John Wieczorek","2017-08-25"
"M or F.","unknown",,1,"John Wieczorek","2017-08-25"
"M OWLET","male",,1,"John Wieczorek","2017-08-25"
"M P","male",,1,"John Wieczorek","2017-08-25"
"M prob.","male",,1,"John Wieczorek","2017-08-25"
"M prop.","male",,1,"John Wieczorek","2017-08-25"
"M R","male",,1,"John Wieczorek","2017-08-25"
"M S.Adult?","male",,1,"John Wieczorek","2017-08-25"
